Student_ID,Quiz_ID,Subject,Chapter,Questions_Attempted,Correct,Incorrect,Accuracy,Average_Time_Per_Question
STU0010,QUIZ0057,Physics,Laws of Motion,21,6,15,28.57,71.19
STU0010,QUIZ0058,Biology,Genetics,27,24,3,88.89,69.3
STU0010,QUIZ0059,Mathematics,Trigonometry,29,14,15,48.28,72.4
STU0010,QUIZ0060,Biology,Cell,20,7,13,35.0,75.3
STU0011,QUIZ0061,Biology,Cell,22,14,8,63.64,56.63
STU0011,QUIZ0062,Chemistry,Organic Chemistry,29,23,6,79.31,37.92
STU0011,QUIZ0063,Physics,Work and Energy,18,12,6,66.67,52.82
STU0011,QUIZ0064,Physics,Electricity,17,7,10,41.18,29.0
STU0011,QUIZ0065,Biology,Cell,27,9,18,33.33,87.62
STU0011,QUIZ0066,Chemistry,Organic Chemistry,25,17,8,68.0,40.66
STU0012,QUIZ0067,Biology,Human Body,22,9,13,40.91,60.72
STU0012,QUIZ0068,Chemistry,Atoms,29,22,7,75.86,79.61
STU0012,QUIZ0069,Mathematics,Probability,25,22,3,88.0,27.36
STU0012,QUIZ0070,Mathematics,Probability,19,14,5,73.68,44.5
STU0012,QUIZ0071,Physics,Work and Energy,26,16,10,61.54,82.5
STU0012,QUIZ0072,Biology,Genetics,17,15,2,88.24,51.67
STU0013,QUIZ0073,Chemistry,Atoms,18,6,12,33.33,48.57
STU0013,QUIZ0074,Physics,Motion,24,18,6,75.0,38.71
STU0013,QUIZ0075,Chemistry,Acids and Bases,21,17,4,80.95,69.61
STU0013,QUIZ0076,Physics,Electricity,30,19,11,63.33,28.76
STU0013,QUIZ0077,Mathematics,Probability,21,16,5,76.19,39.19
STU0013,QUIZ0078,Biology,Cell,25,16,9,64.0,54.77
STU0014,QUIZ0079,Physics,Work and Energy,28,22,6,78.57,33.97
STU0014,QUIZ0080,Biology,Human Body,20,20,0,100.0,66.58
STU0014,QUIZ0081,Mathematics,Calculus,15,10,5,66.67,86.79
STU0014,QUIZ0082,Physics,Motion,20,15,5,75.0,61.31
STU0014,QUIZ0083,Biology,Plant Physiology,30,18,12,60.0,59.96
STU0014,QUIZ0084,Physics,Motion,15,5,10,33.33,68.3
STU0015,QUIZ0085,Biology,Cell,20,14,6,70.0,83.78
STU0015,QUIZ0086,Biology,Human Body,22,17,5,77.27,60.65
STU0015,QUIZ0087,Physics,Electricity,17,13,4,76.47,33.16
STU0015,QUIZ0088,Mathematics,Calculus,19,5,14,26.32,32.63
STU0015,QUIZ0089,Mathematics,Probability,24,23,1,95.83,23.7
STU0015,QUIZ0090,Physics,Motion,18,17,1,94.44,26.74
STU0016,QUIZ0091,Chemistry,Chemical Bonding,17,14,3,82.35,43.78
STU0016,QUIZ0092,Biology,Plant Physiology,21,17,4,80.95,65.01
STU0016,QUIZ0093,Biology,Genetics,27,9,18,33.33,82.98
STU0016,QUIZ0094,Chemistry,Atoms,20,19,1,95.0,72.08
STU0016,QUIZ0095,Physics,Laws of Motion,20,11,9,55.0,73.2
STU0016,QUIZ0096,Mathematics,Probability,29,12,17,41.38,41.15
STU0017,QUIZ0097,Biology,Genetics,18,16,2,88.89,22.01
STU0017,QUIZ0098,Biology,Human Body,27,26,1,96.3,38.6
STU0017,QUIZ0099,Physics,Work and Energy,30,14,16,46.67,60.15
STU0017,QUIZ0100,Chemistry,Atoms,24,5,19,20.83,30.25
STU0017,QUIZ0101,Chemistry,Chemical Bonding,28,5,23,17.86,28.11
STU0017,QUIZ0102,Chemistry,Chemical Bonding,15,14,1,93.33,38.79
STU0018,QUIZ0103,Mathematics,Probability,22,14,8,63.64,26.76
STU0018,QUIZ0104,Mathematics,Trigonometry,27,14,13,51.85,31.51
STU0018,QUIZ0105,Mathematics,Algebra,28,12,16,42.86,56.97
STU0018,QUIZ0106,Physics,Motion,27,16,11,59.26,66.49
STU0018,QUIZ0107,Biology,Cell,30,16,14,53.33,59.47
STU0018,QUIZ0108,Chemistry,Organic Chemistry,20,9,11,45.0,39.85
STU0019,QUIZ0109,Mathematics,Probability,23,9,14,39.13,70.46
STU0019,QUIZ0110,Biology,Genetics,15,7,8,46.67,79.57
STU0019,QUIZ0111,Physics,Electricity,24,16,8,66.67,82.7
STU0019,QUIZ0112,Physics,Laws of Motion,16,5,11,31.25,64.64
STU0019,QUIZ0113,Biology,Genetics,30,30,0,100.0,85.59
STU0019,QUIZ0114,Chemistry,Chemical Bonding,18,18,0,100.0,25.57
STU0020,QUIZ0115,Physics,Work and Energy,28,13,15,46.43,75.26
STU0020,QUIZ0116,Mathematics,Calculus,20,16,4,80.0,70.39
STU0020,QUIZ0117,Mathematics,Trigonometry,25,14,11,56.0,47.18
STU0020,QUIZ0118,Chemistry,Chemical Bonding,17,17,0,100.0,74.68
STU0020,QUIZ0119,Mathematics,Algebra,16,5,11,31.25,28.88
STU0020,QUIZ0120,Chemistry,Atoms,26,5,21,19.23,59.54
STU0021,QUIZ0121,Biology,Plant Physiology,19,19,0,100.0,44.0
STU0021,QUIZ0122,Physics,Laws of Motion,20,20,0,100.0,54.65
STU0021,QUIZ0123,Mathematics,Algebra,22,13,9,59.09,79.47
STU0021,QUIZ0124,Mathematics,Calculus,27,17,10,62.96,64.76
STU0021,QUIZ0125,Physics,Laws of Motion,16,5,11,31.25,28.13
STU0021,QUIZ0126,Chemistry,Acids and Bases,15,14,1,93.33,27.86
STU0022,QUIZ0127,Mathematics,Probability,19,13,6,68.42,81.82
STU0022,QUIZ0128,Physics,Laws of Motion,19,6,13,31.58,31.83
STU0022,QUIZ0129,Physics,Work and Energy,30,5,25,16.67,46.33
STU0022,QUIZ0130,Chemistry,Atoms,26,12,14,46.15,50.93
STU0022,QUIZ0131,Chemistry,Atoms,25,20,5,80.0,79.59
STU0022,QUIZ0132,Biology,Cell,24,13,11,54.17,51.07
STU0023,QUIZ0133,Mathematics,Trigonometry,19,13,6,68.42,89.81
STU0023,QUIZ0134,Biology,Human Body,15,7,8,46.67,89.56
STU0023,QUIZ0135,Chemistry,Organic Chemistry,25,20,5,80.0,57.03
STU0023,QUIZ0136,Mathematics,Trigonometry,27,5,22,18.52,85.63
STU0023,QUIZ0137,Chemistry,Chemical Bonding,23,20,3,86.96,52.67
STU0023,QUIZ0138,Biology,Human Body,30,29,1,96.67,26.46
STU0024,QUIZ0139,Biology,Genetics,28,26,2,92.86,27.61
STU0024,QUIZ0140,Physics,Motion,26,13,13,50.0,51.46
STU0024,QUIZ0141,Biology,Human Body,18,14,4,77.78,71.83
STU0024,QUIZ0142,Mathematics,Probability,23,15,8,65.22,43.02
STU0024,QUIZ0143,Biology,Human Body,30,7,23,23.33,87.9
STU0024,QUIZ0144,Physics,Laws of Motion,18,12,6,66.67,53.7
STU0025,QUIZ0145,Biology,Cell,22,5,17,22.73,49.36
STU0025,QUIZ0146,Chemistry,Acids and Bases,26,8,18,30.77,60.31
STU0025,QUIZ0147,Chemistry,Chemical Bonding,29,15,14,51.72,52.5
STU0025,QUIZ0148,Chemistry,Organic Chemistry,18,17,1,94.44,34.22
STU0025,QUIZ0149,Biology,Plant Physiology,15,9,6,60.0,20.85
STU0025,QUIZ0150,Physics,Work and Energy,23,16,7,69.57,31.42
STU0026,QUIZ0151,Biology,Cell,30,7,23,23.33,56.55
STU0026,QUIZ0152,Physics,Laws of Motion,29,9,20,31.03,61.49
STU0026,QUIZ0153,Mathematics,Trigonometry,24,13,11,54.17,58.83
STU0026,QUIZ0154,Biology,Human Body,21,6,15,28.57,42.93
STU0026,QUIZ0155,Chemistry,Organic Chemistry,15,11,4,73.33,59.86
STU0026,QUIZ0156,Mathematics,Probability,25,18,7,72.0,83.03
STU0027,QUIZ0157,Chemistry,Atoms,30,8,22,26.67,46.84
STU0027,QUIZ0158,Chemistry,Organic Chemistry,16,8,8,50.0,39.8
STU0027,QUIZ0159,Biology,Genetics,27,25,2,92.59,84.82
STU0027,QUIZ0160,Mathematics,Probability,29,20,9,68.97,31.74
STU0027,QUIZ0161,Physics,Motion,23,15,8,65.22,47.37
STU0027,QUIZ0162,Chemistry,Atoms,24,10,14,41.67,43.81
STU0028,QUIZ0163,Mathematics,Calculus,25,13,12,52.0,32.82
STU0028,QUIZ0164,Physics,Motion,20,8,12,40.0,54.08
STU0028,QUIZ0165,Physics,Motion,20,10,10,50.0,24.95
STU0028,QUIZ0166,Mathematics,Probability,24,5,19,20.83,53.41
STU0028,QUIZ0167,Mathematics,Probability,25,9,16,36.0,23.8
STU0028,QUIZ0168,Biology,Human Body,17,16,1,94.12,50.88
STU0029,QUIZ0169,Physics,Work and Energy,20,19,1,95.0,39.18
STU0029,QUIZ0170,Physics,Electricity,29,8,21,27.59,49.24
STU0029,QUIZ0171,Mathematics,Calculus,21,17,4,80.95,45.21
STU0029,QUIZ0172,Physics,Work and Energy,25,10,15,40.0,82.41
STU0029,QUIZ0173,Physics,Laws of Motion,20,8,12,40.0,20.08
STU0029,QUIZ0174,Physics,Work and Energy,29,25,4,86.21,36.12
STU0030,QUIZ0175,Physics,Laws of Motion,17,8,9,47.06,64.48
STU0030,QUIZ0176,Mathematics,Probability,15,5,10,33.33,62.78
STU0030,QUIZ0177,Physics,Electricity,25,23,2,92.0,31.5
STU0030,QUIZ0178,Biology,Cell,23,11,12,47.83,35.78
STU0030,QUIZ0179,Chemistry,Atoms,30,9,21,30.0,80.52
STU0030,QUIZ0180,Biology,Genetics,28,14,14,50.0,66.5
STU0031,QUIZ0181,Chemistry,Acids and Bases,20,5,15,25.0,81.8
STU0031,QUIZ0182,Biology,Genetics,26,12,14,46.15,66.96
STU0031,QUIZ0183,Biology,Human Body,25,6,19,24.0,75.58
STU0031,QUIZ0184,Mathematics,Probability,30,15,15,50.0,53.66
STU0031,QUIZ0185,Biology,Cell,16,11,5,68.75,70.87
STU0031,QUIZ0186,Mathematics,Trigonometry,30,12,18,40.0,30.92
STU0032,QUIZ0187,Physics,Work and Energy,28,23,5,82.14,77.77
STU0032,QUIZ0188,Chemistry,Organic Chemistry,17,7,10,41.18,57.17
STU0032,QUIZ0189,Mathematics,Probability,18,9,9,50.0,63.2
STU0032,QUIZ0190,Biology,Human Body,19,10,9,52.63,53.45
STU0032,QUIZ0191,Physics,Laws of Motion,26,24,2,92.31,20.56
STU0032,QUIZ0192,Chemistry,Chemical Bonding,21,12,9,57.14,41.19
STU0033,QUIZ0193,Physics,Laws of Motion,27,27,0,100.0,27.39
STU0033,QUIZ0194,Biology,Cell,28,11,17,39.29,20.28
STU0033,QUIZ0195,Physics,Laws of Motion,22,16,6,72.73,51.4
STU0033,QUIZ0196,Chemistry,Atoms,27,21,6,77.78,44.92
STU0033,QUIZ0197,Physics,Motion,27,10,17,37.04,67.73
STU0033,QUIZ0198,Chemistry,Atoms,30,19,11,63.33,55.54
STU0034,QUIZ0199,Chemistry,Acids and Bases,28,17,11,60.71,60.56
STU0034,QUIZ0200,Chemistry,Chemical Bonding,28,26,2,92.86,51.91
STU0034,QUIZ0201,Physics,Work and Energy,16,15,1,93.75,21.12
STU0034,QUIZ0202,Physics,Laws of Motion,23,21,2,91.3,49.91
STU0034,QUIZ0203,Biology,Cell,29,5,24,17.24,79.17
STU0034,QUIZ0204,Biology,Cell,28,18,10,64.29,75.64
STU0035,QUIZ0205,Physics,Work and Energy,22,10,12,45.45,24.92
STU0035,QUIZ0206,Mathematics,Algebra,16,9,7,56.25,48.94
STU0035,QUIZ0207,Physics,Electricity,21,15,6,71.43,73.35
STU0035,QUIZ0208,Physics,Laws of Motion,27,27,0,100.0,84.9
STU0035,QUIZ0209,Physics,Motion,29,5,24,17.24,25.31
STU0035,QUIZ0210,Chemistry,Organic Chemistry,15,10,5,66.67,55.74
STU0036,QUIZ0211,Mathematics,Probability,30,11,19,36.67,67.92
STU0036,QUIZ0212,Chemistry,Organic Chemistry,22,21,1,95.45,29.12
STU0036,QUIZ0213,Chemistry,Chemical Bonding,17,5,12,29.41,65.91
STU0036,QUIZ0214,Physics,Laws of Motion,17,13,4,76.47,35.5
STU0036,QUIZ0215,Mathematics,Probability,27,20,7,74.07,49.53
STU0036,QUIZ0216,Biology,Plant Physiology,26,20,6,76.92,56.64
STU0037,QUIZ0217,Mathematics,Calculus,20,7,13,35.0,26.48
STU0037,QUIZ0218,Chemistry,Acids and Bases,21,18,3,85.71,45.14
STU0037,QUIZ0219,Mathematics,Calculus,25,23,2,92.0,70.04
STU0037,QUIZ0220,Biology,Cell,27,10,17,37.04,58.72
STU0037,QUIZ0221,Physics,Motion,16,16,0,100.0,23.06
STU0037,QUIZ0222,Chemistry,Atoms,28,12,16,42.86,66.29
STU0038,QUIZ0223,Physics,Electricity,27,15,12,55.56,56.67
STU0038,QUIZ0224,Physics,Motion,20,8,12,40.0,87.2
STU0038,QUIZ0225,Mathematics,Algebra,15,13,2,86.67,35.74
STU0038,QUIZ0226,Physics,Electricity,20,15,5,75.0,68.18
STU0038,QUIZ0227,Biology,Human Body,30,28,2,93.33,36.59
STU0038,QUIZ0228,Biology,Plant Physiology,15,14,1,93.33,25.29
STU0039,QUIZ0229,Physics,Work and Energy,29,8,21,27.59,87.11
STU0039,QUIZ0230,Mathematics,Trigonometry,15,9,6,60.0,83.17
STU0039,QUIZ0231,Mathematics,Algebra,30,16,14,53.33,31.73
STU0039,QUIZ0232,Physics,Laws of Motion,17,8,9,47.06,48.43
STU0039,QUIZ0233,Mathematics,Algebra,18,14,4,77.78,82.53
STU0039,QUIZ0234,Biology,Plant Physiology,18,7,11,38.89,52.68
STU0040,QUIZ0235,Physics,Work and Energy,18,14,4,77.78,33.89
STU0040,QUIZ0236,Physics,Work and Energy,30,7,23,23.33,69.75
STU0040,QUIZ0237,Mathematics,Probability,22,6,16,27.27,62.14
STU0040,QUIZ0238,Physics,Work and Energy,25,5,20,20.0,54.7
STU0040,QUIZ0239,Chemistry,Acids and Bases,16,5,11,31.25,72.11
STU0040,QUIZ0240,Mathematics,Calculus,20,20,0,100.0,60.14
STU0041,QUIZ0241,Chemistry,Acids and Bases,28,21,7,75.0,74.14
STU0041,QUIZ0242,Biology,Plant Physiology,29,13,16,44.83,49.75
STU0041,QUIZ0243,Biology,Plant Physiology,28,17,11,60.71,53.88
STU0041,QUIZ0244,Physics,Work and Energy,17,10,7,58.82,22.21
STU0041,QUIZ0245,Biology,Cell,25,11,14,44.0,51.12
STU0041,QUIZ0246,Chemistry,Chemical Bonding,15,5,10,33.33,69.14
STU0042,QUIZ0247,Biology,Human Body,25,15,10,60.0,23.83
STU0042,QUIZ0248,Biology,Human Body,24,6,18,25.0,31.43
STU0042,QUIZ0249,Chemistry,Chemical Bonding,22,15,7,68.18,88.66
STU0042,QUIZ0250,Chemistry,Acids and Bases,22,8,14,36.36,87.81
STU0042,QUIZ0251,Mathematics,Trigonometry,18,17,1,94.44,27.04
STU0042,QUIZ0252,Physics,Electricity,21,21,0,100.0,67.97
STU0043,QUIZ0253,Biology,Genetics,23,7,16,30.43,56.96
STU0043,QUIZ0254,Mathematics,Probability,22,5,17,22.73,24.54
STU0043,QUIZ0255,Biology,Cell,28,5,23,17.86,82.18
STU0043,QUIZ0256,Biology,Human Body,26,6,20,23.08,62.06
STU0043,QUIZ0257,Mathematics,Algebra,15,12,3,80.0,29.58
STU0043,QUIZ0258,Mathematics,Calculus,20,15,5,75.0,23.86
STU0044,QUIZ0259,Mathematics,Calculus,26,10,16,38.46,22.08
STU0044,QUIZ0260,Physics,Laws of Motion,19,12,7,63.16,28.09
STU0044,QUIZ0261,Physics,Motion,30,23,7,76.67,77.26
STU0044,QUIZ0262,Biology,Human Body,29,13,16,44.83,47.15
STU0044,QUIZ0263,Biology,Human Body,25,24,1,96.0,56.96
STU0044,QUIZ0264,Chemistry,Atoms,17,9,8,52.94,55.63
STU0045,QUIZ0265,Physics,Work and Energy,21,10,11,47.62,61.15
STU0045,QUIZ0266,Biology,Genetics,22,21,1,95.45,67.96
STU0045,QUIZ0267,Biology,Cell,27,17,10,62.96,75.4
STU0045,QUIZ0268,Biology,Human Body,26,20,6,76.92,84.89
STU0045,QUIZ0269,Mathematics,Probability,25,6,19,24.0,59.61
STU0045,QUIZ0270,Physics,Work and Energy,16,10,6,62.5,44.56
STU0046,QUIZ0271,Mathematics,Calculus,19,13,6,68.42,60.96
STU0046,QUIZ0272,Physics,Electricity,26,16,10,61.54,71.78
STU0046,QUIZ0273,Mathematics,Algebra,17,7,10,41.18,27.06
STU0046,QUIZ0274,Biology,Human Body,23,19,4,82.61,27.47
STU0046,QUIZ0275,Chemistry,Atoms,29,11,18,37.93,84.84
STU0046,QUIZ0276,Mathematics,Algebra,26,5,21,19.23,85.38
STU0047,QUIZ0277,Physics,Laws of Motion,28,9,19,32.14,25.2
STU0047,QUIZ0278,Chemistry,Atoms,27,6,21,22.22,38.25
STU0047,QUIZ0279,Physics,Electricity,23,13,10,56.52,67.26
STU0047,QUIZ0280,Physics,Electricity,18,13,5,72.22,24.79
STU0047,QUIZ0281,Mathematics,Calculus,26,25,1,96.15,20.28
STU0047,QUIZ0282,Mathematics,Algebra,29,17,12,58.62,83.66
STU0048,QUIZ0283,Biology,Plant Physiology,21,10,11,47.62,35.22
STU0048,QUIZ0284,Mathematics,Probability,15,6,9,40.0,84.1
STU0048,QUIZ0285,Mathematics,Probability,27,15,12,55.56,73.65
STU0048,QUIZ0286,Chemistry,Chemical Bonding,28,17,11,60.71,25.14
STU0048,QUIZ0287,Biology,Genetics,21,6,15,28.57,40.96
STU0048,QUIZ0288,Physics,Work and Energy,26,16,10,61.54,39.63
STU0049,QUIZ0289,Biology,Cell,29,24,5,82.76,26.9
STU0049,QUIZ0290,Mathematics,Calculus,20,20,0,100.0,41.36
STU0049,QUIZ0291,Chemistry,Organic Chemistry,19,17,2,89.47,37.4
STU0049,QUIZ0292,Chemistry,Atoms,20,19,1,95.0,20.4
STU0049,QUIZ0293,Biology,Cell,20,10,10,50.0,35.21
STU0049,QUIZ0294,Mathematics,Calculus,21,5,16,23.81,70.39
STU0050,QUIZ0295,Chemistry,Chemical Bonding,28,24,4,85.71,27.61
STU0050,QUIZ0296,Chemistry,Atoms,22,12,10,54.55,65.93
STU0050,QUIZ0297,Mathematics,Calculus,18,18,0,100.0,34.81
STU0050,QUIZ0298,Physics,Motion,27,11,16,40.74,87.39
STU0050,QUIZ0299,Chemistry,Atoms,21,7,14,33.33,31.29
STU0050,QUIZ0300,Chemistry,Atoms,22,6,16,27.27,62.65
STU0051,QUIZ0301,Physics,Electricity,24,7,17,29.17,59.52
STU0051,QUIZ0302,Biology,Human Body,18,13,5,72.22,44.54
STU0051,QUIZ0303,Biology,Plant Physiology,29,9,20,31.03,70.69
STU0051,QUIZ0304,Chemistry,Organic Chemistry,15,13,2,86.67,75.41
STU0051,QUIZ0305,Chemistry,Atoms,20,19,1,95.0,46.45
STU0051,QUIZ0306,Biology,Plant Physiology,27,9,18,33.33,71.81
STU0052,QUIZ0307,Physics,Laws of Motion,18,7,11,38.89,62.11
STU0052,QUIZ0308,Physics,Work and Energy,20,18,2,90.0,81.5
STU0052,QUIZ0309,Mathematics,Calculus,26,7,19,26.92,74.01
STU0052,QUIZ0310,Physics,Electricity,15,6,9,40.0,89.7
STU0052,QUIZ0311,Biology,Cell,28,22,6,78.57,62.15
STU0052,QUIZ0312,Chemistry,Organic Chemistry,29,15,14,51.72,70.02
STU0053,QUIZ0313,Chemistry,Atoms,29,26,3,89.66,87.4
STU0053,QUIZ0314,Chemistry,Atoms,18,15,3,83.33,50.25
STU0053,QUIZ0315,Physics,Motion,29,5,24,17.24,33.14
STU0053,QUIZ0316,Mathematics,Algebra,28,6,22,21.43,42.17
STU0053,QUIZ0317,Biology,Human Body,29,18,11,62.07,31.39
STU0053,QUIZ0318,Physics,Motion,26,23,3,88.46,31.21
STU0054,QUIZ0319,Physics,Laws of Motion,25,20,5,80.0,64.3
STU0054,QUIZ0320,Biology,Human Body,25,20,5,80.0,39.73
STU0054,QUIZ0321,Chemistry,Acids and Bases,21,16,5,76.19,52.56
STU0054,QUIZ0322,Mathematics,Probability,22,13,9,59.09,45.71
STU0054,QUIZ0323,Physics,Electricity,22,21,1,95.45,75.21
STU0054,QUIZ0324,Mathematics,Trigonometry,28,13,15,46.43,27.07
STU0055,QUIZ0325,Chemistry,Acids and Bases,16,12,4,75.0,31.01
STU0055,QUIZ0326,Physics,Laws of Motion,25,8,17,32.0,52.21
STU0055,QUIZ0327,Mathematics,Probability,27,26,1,96.3,53.55
STU0055,QUIZ0328,Mathematics,Trigonometry,28,15,13,53.57,73.06
STU0055,QUIZ0329,Physics,Electricity,25,14,11,56.0,75.66
STU0055,QUIZ0330,Physics,Electricity,23,11,12,47.83,60.58
STU0056,QUIZ0331,Chemistry,Organic Chemistry,25,9,16,36.0,62.91
STU0056,QUIZ0332,Chemistry,Atoms,19,7,12,36.84,34.04
STU0056,QUIZ0333,Physics,Laws of Motion,26,7,19,26.92,34.34
STU0056,QUIZ0334,Physics,Motion,26,12,14,46.15,71.14
STU0056,QUIZ0335,Biology,Human Body,26,14,12,53.85,70.92
STU0056,QUIZ0336,Biology,Plant Physiology,26,13,13,50.0,24.91
STU0057,QUIZ0337,Mathematics,Trigonometry,24,6,18,25.0,68.37
STU0057,QUIZ0338,Physics,Work and Energy,26,17,9,65.38,80.02
STU0057,QUIZ0339,Mathematics,Trigonometry,30,19,11,63.33,54.69
STU0057,QUIZ0340,Physics,Laws of Motion,25,15,10,60.0,30.5
STU0057,QUIZ0341,Physics,Laws of Motion,28,6,22,21.43,53.47
STU0057,QUIZ0342,Mathematics,Trigonometry,19,13,6,68.42,59.49
STU0058,QUIZ0343,Chemistry,Organic Chemistry,15,8,7,53.33,83.77
STU0058,QUIZ0344,Chemistry,Atoms,27,27,0,100.0,40.66
STU0058,QUIZ0345,Chemistry,Chemical Bonding,27,21,6,77.78,27.43
STU0058,QUIZ0346,Physics,Laws of Motion,16,16,0,100.0,50.19
STU0058,QUIZ0347,Physics,Electricity,18,17,1,94.44,81.03
STU0058,QUIZ0348,Physics,Laws of Motion,30,14,16,46.67,28.56
STU0059,QUIZ0349,Chemistry,Chemical Bonding,19,7,12,36.84,27.71
STU0059,QUIZ0350,Physics,Electricity,23,7,16,30.43,44.27
STU0059,QUIZ0351,Biology,Human Body,20,12,8,60.0,81.94
STU0059,QUIZ0352,Physics,Work and Energy,30,19,11,63.33,25.93
STU0059,QUIZ0353,Chemistry,Organic Chemistry,29,18,11,62.07,66.22
STU0059,QUIZ0354,Chemistry,Acids and Bases,25,14,11,56.0,41.2
STU0060,QUIZ0355,Mathematics,Probability,16,14,2,87.5,30.71
STU0060,QUIZ0356,Physics,Motion,23,14,9,60.87,43.3
STU0060,QUIZ0357,Chemistry,Atoms,29,29,0,100.0,87.63
STU0060,QUIZ0358,Physics,Electricity,16,12,4,75.0,41.13
STU0060,QUIZ0359,Mathematics,Trigonometry,21,14,7,66.67,45.92
STU0060,QUIZ0360,Physics,Work and Energy,29,26,3,89.66,40.51
STU0061,QUIZ0361,Physics,Motion,28,7,21,25.0,40.97
STU0061,QUIZ0362,Biology,Cell,23,10,13,43.48,63.34
STU0061,QUIZ0363,Physics,Motion,15,5,10,33.33,25.02
STU0061,QUIZ0364,Chemistry,Organic Chemistry,23,19,4,82.61,72.22
STU0061,QUIZ0365,Chemistry,Atoms,21,19,2,90.48,88.74
