Attendance_Percentage,Quiz_Average,Marks,Assignment_Average,Weekly_Study_Hours,Average_Session_Duration,Engagement_Score,Sessions_Per_Week,Performance
78.6,50.775,61.333333333333336,23.6,10.1,59,82.3,8,Average
75.7,46.605,57.66666666666666,32.8,15.0,33,89.0,10,Average
84.5,52.781666666666666,73.66666666666667,35.0,28.3,128,100.0,5,Average
71.2,63.99666666666667,66.66666666666667,51.2,22.4,163,91.2,4,Average
78.0,41.516666666666666,72.66666666666667,51.2,14.3,129,84.9,3,Average
65.2,62.01,74.0,38.6,24.2,51,82.6,6,Average
77.7,61.57500000000001,62.0,18.8,18.0,155,100.0,2,Average
73.2,51.818333333333335,43.333333333333336,49.6,34.3,69,100.0,14,At Risk
81.8,56.31166666666667,78.0,69.8,15.2,36,81.6,3,Average
69.7,49.0,76.66666666666667,47.4,34.9,33,100.0,10,Average
76.1,73.50666666666667,55.0,32.0,15.0,142,91.0,9,Average
77.8,56.93333333333333,65.33333333333333,65.8,22.0,27,100.0,5,Average
77.4,57.903333333333336,56.333333333333336,63.2,23.3,110,100.0,12,Average
76.1,54.35,39.0,33.4,9.8,94,87.4,9,At Risk
67.9,60.365,82.33333333333333,44.2,25.1,129,89.30000000000001,8,High Performer
78.9,72.86,74.33333333333333,59.8,33.5,34,100.0,12,Average
78.3,60.11666666666667,57.0,15.4,6.8,90,36.4,7,Average
79.2,41.626666666666665,56.0,30.6,24.5,44,100.0,12,Average
80.1,50.59333333333333,63.333333333333336,24.4,16.5,157,67.5,2,Average
75.0,78.70333333333333,41.66666666666666,39.0,27.2,61,93.6,5,At Risk
74.0,51.445,41.66666666666666,47.4,14.4,103,93.2,9,At Risk
72.8,79.95,65.0,31.4,17.2,95,85.6,5,Average
76.1,59.54166666666666,50.333333333333336,48.6,22.4,150,100.0,10,Average
66.0,42.73833333333334,55.66666666666666,47.0,24.6,129,100.0,7,Average
73.3,85.69666666666666,59.66666666666666,58.6,5.5,122,70.5,8,Average
66.0,72.89,55.0,49.4,30.1,76,100.0,8,Average
66.1,63.821666666666665,69.0,23.8,14.2,129,78.6,3,Average
72.0,64.06166666666667,55.0,35.2,7.7,76,65.1,9,Average
68.7,58.73833333333334,40.66666666666666,55.2,24.6,72,100.0,13,At Risk
77.4,63.34166666666667,51.0,51.8,24.6,55,100.0,3,Average
75.0,69.97,67.66666666666667,38.4,10.4,100,79.2,12,Average
77.5,66.60166666666667,61.333333333333336,26.6,15.9,90,91.7,6,Average
73.9,46.845,28.666666666666668,24.2,12.7,155,68.1,3,At Risk
77.3,65.19,74.66666666666667,28.6,12.4,171,95.2,2,Average
77.9,54.86833333333333,71.66666666666667,30.6,27.5,139,92.5,13,Average
72.7,81.69,86.33333333333333,63.0,13.7,64,77.1,10,High Performer
79.7,57.11333333333334,53.0,57.0,34.6,111,100.0,5,Average
85.8,51.87166666666667,58.333333333333336,54.0,26.2,31,100.0,11,Average
73.9,61.43666666666667,68.66666666666667,31.0,13.5,127,70.5,5,Average
75.7,56.075,48.66666666666666,63.4,32.3,158,100.0,6,At Risk
74.7,71.44166666666666,58.333333333333336,48.6,27.2,27,100.0,6,Average
73.3,57.56833333333333,69.66666666666667,48.8,18.6,66,85.80000000000001,11,Average
69.2,57.73666666666667,57.333333333333336,52.4,23.5,118,100.0,7,Average
72.3,67.59333333333333,28.33333333333333,15.2,6.3,101,66.9,2,At Risk
65.9,75.82333333333334,71.33333333333333,50.6,20.5,30,100.0,2,Average
68.7,56.185,59.66666666666666,44.0,32.0,83,100.0,5,Average
79.8,62.99,81.33333333333333,26.8,23.8,60,100.0,13,High Performer
70.0,73.34833333333334,54.66666666666666,29.6,26.9,110,100.0,12,Average
77.9,69.71,71.33333333333333,26.2,29.2,53,100.0,4,Average
67.9,54.85333333333333,63.333333333333336,59.2,10.7,127,76.1,6,Average
83.9,66.88833333333334,59.0,37.8,21.9,161,100.0,5,Average
71.3,62.645,50.0,48.2,14.5,118,71.5,11,Average
73.7,54.20166666666666,48.66666666666666,51.4,16.1,76,74.30000000000001,4,At Risk
71.6,74.02333333333333,86.33333333333333,24.8,25.8,146,100.0,4,High Performer
79.4,61.51333333333334,84.66666666666667,49.2,17.1,140,100.0,12,High Performer
72.2,68.82666666666667,81.0,57.6,26.4,180,100.0,14,High Performer
65.0,73.50833333333334,68.33333333333333,54.0,12.9,112,56.7,10,Average
87.0,61.15,49.66666666666666,55.6,21.0,87,100.0,8,At Risk
78.7,61.85333333333333,66.0,65.0,24.3,121,82.9,14,Average
85.2,63.02,49.333333333333336,21.2,31.8,156,100.0,2,At Risk
74.6,58.465,52.333333333333336,69.4,14.9,34,80.7,5,Average
72.9,70.99333333333334,68.0,58.8,35.0,115,100.0,11,Average
72.3,59.0,47.66666666666666,24.6,17.8,30,71.4,5,At Risk
75.9,48.225,60.66666666666666,50.4,13.5,40,98.5,9,Average
76.4,67.15333333333334,58.0,44.8,34.8,87,100.0,5,Average
69.3,57.73666666666667,61.333333333333336,36.8,34.9,73,100.0,6,Average
74.8,71.445,54.333333333333336,69.8,14.8,77,100.0,10,Average
82.0,45.95333333333334,60.66666666666666,30.8,21.8,180,99.4,11,Average
70.4,50.74,53.0,52.0,9.5,48,68.5,9,Average
80.2,59.43666666666667,73.0,23.4,20.3,89,92.9,9,Average
67.7,49.36833333333334,61.333333333333336,48.0,10.8,118,46.400000000000006,6,Average
75.6,56.47666666666667,52.333333333333336,56.2,13.1,152,93.3,6,Average
83.2,76.27833333333334,48.0,69.6,8.9,60,72.7,6,At Risk
75.5,76.49166666666666,43.0,29.2,9.1,88,65.3,12,At Risk
83.0,77.27166666666666,79.33333333333333,50.4,28.2,41,100.0,2,Average
76.8,53.74166666666667,69.0,33.8,11.6,38,54.8,4,Average
75.5,67.54333333333334,67.66666666666667,45.4,12.9,128,54.7,10,Average
80.7,65.67166666666667,57.66666666666666,37.4,15.1,86,79.3,2,Average
76.1,67.17999999999999,82.66666666666667,60.6,29.0,105,100.0,7,High Performer
84.4,69.96666666666667,57.333333333333336,36.2,31.4,52,100.0,9,Average
83.2,67.745,63.333333333333336,51.2,22.2,22,88.6,7,Average
74.0,55.33166666666667,36.66666666666666,51.0,5.6,150,68.8,6,At Risk
82.7,71.47,72.66666666666667,26.2,11.3,160,43.900000000000006,2,Average
77.4,48.70333333333334,51.333333333333336,36.6,18.0,82,64.0,13,Average
75.6,60.60333333333333,77.0,35.6,7.6,43,44.8,7,Average
78.5,58.39166666666667,55.333333333333336,55.0,28.7,146,100.0,4,Average
75.1,60.035,56.333333333333336,62.8,12.2,41,60.6,4,Average
76.0,64.60833333333333,53.0,39.4,31.0,137,100.0,3,Average
78.9,62.71666666666667,48.66666666666666,67.8,23.3,156,97.9,7,At Risk
84.0,62.781666666666666,80.66666666666667,54.2,11.6,31,54.8,12,High Performer
70.5,69.93833333333333,30.0,30.6,16.3,85,100.0,10,At Risk
66.3,48.30166666666667,90.66666666666669,45.0,26.4,115,95.2,10,High Performer
75.5,48.79166666666666,61.333333333333336,45.4,25.5,114,100.0,9,Average
76.9,61.21333333333333,34.666666666666664,24.8,16.6,133,77.80000000000001,5,At Risk
79.4,75.02499999999999,71.0,26.8,16.3,166,84.9,5,Average
83.0,48.580000000000005,65.33333333333333,45.0,16.7,27,100.0,6,Average
67.1,43.56666666666666,67.0,52.4,8.2,75,44.6,10,Average
70.9,43.935,73.0,37.0,27.2,72,100.0,14,Average
75.6,59.58166666666667,72.33333333333333,41.8,10.8,78,52.400000000000006,7,Average
77.2,60.406666666666666,52.66666666666666,56.8,22.3,81,100.0,9,Average
73.8,53.10333333333333,50.333333333333336,44.2,30.1,70,100.0,7,Average
72.2,79.05333333333333,74.0,70.2,31.6,103,100.0,5,Average
74.2,65.855,40.66666666666666,50.8,6.6,147,39.8,4,At Risk
76.5,61.54333333333333,74.66666666666667,28.6,20.0,140,78.0,13,Average
80.5,52.255,67.66666666666667,42.4,15.7,84,91.1,6,Average
74.3,55.30833333333334,79.0,50.8,27.5,25,100.0,3,Average
68.8,78.60166666666667,79.0,56.8,29.5,115,100.0,10,Average
73.5,60.21666666666667,68.33333333333333,42.8,12.9,151,92.7,13,Average
78.0,65.07166666666667,57.333333333333336,49.8,28.0,131,100.0,13,Average
68.8,65.14166666666667,41.0,72.8,11.9,157,51.7,3,At Risk
80.4,60.55166666666667,66.0,49.0,34.3,180,100.0,5,Average
77.3,76.755,76.33333333333333,26.0,25.8,64,100.0,5,Average
74.6,64.81166666666667,52.66666666666666,28.4,18.9,112,72.69999999999999,14,Average
77.6,81.52666666666666,77.66666666666667,32.6,23.6,109,100.0,2,Average
78.4,57.796666666666674,66.33333333333333,45.2,27.6,126,100.0,2,Average
85.0,40.82,62.333333333333336,44.8,23.7,145,89.1,9,Average
71.4,69.985,86.33333333333333,59.6,8.3,31,76.9,13,High Performer
80.6,57.17,68.66666666666667,28.6,30.4,121,100.0,2,Average
67.2,55.16833333333333,61.333333333333336,37.2,10.3,120,76.9,11,Average
68.9,46.925,51.333333333333336,25.8,26.5,23,100.0,3,Average
78.5,32.15833333333333,48.333333333333336,72.8,6.8,30,64.4,10,At Risk
67.0,73.40833333333333,45.0,34.6,15.9,154,59.7,4,At Risk
76.9,54.895,46.0,45.6,9.8,175,69.4,13,At Risk
73.0,60.903333333333336,50.333333333333336,37.0,14.5,116,79.5,9,Average
75.9,50.196666666666665,36.0,44.8,22.2,93,100.0,7,At Risk
81.7,60.53333333333333,59.66666666666666,37.6,25.8,151,100.0,8,Average
75.4,54.055,79.66666666666667,47.4,21.2,151,100.0,12,Average
66.9,47.41166666666667,60.0,48.6,12.7,160,54.1,13,Average
66.9,59.2,74.0,45.4,14.5,177,67.5,5,Average
84.2,57.65166666666666,73.33333333333333,44.6,34.7,52,100.0,2,Average
79.4,59.26833333333334,60.333333333333336,43.8,15.9,73,65.7,9,Average
79.8,60.16333333333333,59.66666666666666,63.8,30.6,71,100.0,13,Average
72.8,70.33833333333332,52.0,29.8,26.5,147,100.0,12,Average
80.5,56.14333333333334,62.333333333333336,52.4,22.1,94,100.0,7,Average
79.1,49.16166666666667,50.0,70.0,9.5,145,76.5,10,Average
80.4,48.97833333333333,59.333333333333336,33.8,13.3,139,75.9,5,Average
71.0,60.02666666666666,61.0,48.0,18.1,166,100.0,7,Average
82.0,51.01833333333334,43.333333333333336,33.0,17.9,25,69.69999999999999,14,At Risk
79.4,73.26166666666667,69.33333333333333,55.0,17.9,105,85.69999999999999,3,Average
75.6,57.66666666666666,50.0,52.4,21.3,56,100.0,2,Average
74.3,65.37833333333333,60.333333333333336,21.6,7.4,55,54.2,11,Average
77.9,53.09333333333333,63.333333333333336,37.0,10.9,23,60.7,12,Average
76.0,72.73166666666667,65.0,48.4,34.7,116,100.0,12,Average
88.2,42.428333333333335,70.33333333333333,60.2,26.5,68,100.0,4,Average
71.3,69.455,70.66666666666667,52.4,23.2,118,100.0,2,Average
76.3,71.81666666666666,44.66666666666666,49.8,34.0,172,100.0,14,At Risk
78.0,57.20166666666668,73.33333333333333,42.0,32.3,129,100.0,14,Average
74.9,60.208333333333336,48.0,58.2,30.1,35,100.0,12,At Risk
76.5,48.10166666666667,60.66666666666666,48.4,34.2,172,100.0,3,Average
75.1,57.82333333333333,42.333333333333336,49.2,16.3,90,100.0,9,At Risk
72.2,69.67666666666666,37.333333333333336,45.2,27.6,27,92.8,14,At Risk
78.4,57.07833333333334,65.0,45.8,32.8,72,100.0,8,Average
68.6,73.35666666666667,46.0,33.0,28.2,114,100.0,9,At Risk
68.4,66.64666666666666,34.333333333333336,56.2,32.5,170,100.0,7,At Risk
70.0,56.98333333333333,65.33333333333333,72.8,25.3,36,91.9,6,Average
75.3,75.47833333333334,65.66666666666667,49.0,32.7,32,100.0,14,Average
74.3,51.37166666666667,50.0,24.8,25.6,131,100.0,11,Average
72.2,49.48833333333334,83.0,22.6,29.9,147,100.0,4,High Performer
69.8,49.16,72.66666666666667,34.6,24.6,46,100.0,3,Average
81.1,59.83833333333333,65.66666666666667,51.0,18.0,72,66.0,14,Average
72.4,68.21833333333333,48.333333333333336,35.0,10.1,90,60.3,6,At Risk
76.0,68.94333333333333,56.66666666666666,42.0,7.3,27,67.9,7,Average
80.5,52.425,62.66666666666666,41.2,11.4,169,86.2,11,Average
69.9,72.88166666666667,53.333333333333336,46.6,8.7,56,42.1,10,Average
73.7,50.54,68.33333333333333,22.8,24.2,162,100.0,12,Average
71.5,62.565,66.0,60.4,30.2,135,100.0,10,Average
71.9,65.585,44.0,32.4,22.1,145,88.30000000000001,3,At Risk
77.1,57.961666666666666,38.66666666666666,40.8,31.7,33,100.0,4,At Risk
78.8,58.93,53.66666666666666,50.2,20.3,69,80.9,3,Average
77.8,61.708333333333336,59.66666666666666,35.4,10.5,81,53.5,9,Average
77.0,73.19666666666667,50.66666666666666,49.0,27.3,67,99.9,5,Average
76.8,60.12833333333333,47.66666666666666,39.0,32.5,109,100.0,2,At Risk
70.9,59.805,47.333333333333336,27.0,12.9,25,60.7,6,At Risk
80.8,59.403333333333336,59.66666666666666,81.6,10.1,39,48.3,13,Average
72.7,62.406666666666666,72.0,49.8,9.4,156,72.2,7,Average
77.6,60.14333333333334,34.666666666666664,47.4,6.0,24,68.0,14,At Risk
71.9,52.63666666666666,30.666666666666668,49.8,5.6,38,68.8,6,At Risk
72.4,68.76,72.33333333333333,57.4,34.7,106,100.0,14,Average
76.2,71.595,73.0,66.2,6.0,27,54.0,7,Average
79.9,63.26333333333333,71.66666666666667,46.4,24.3,88,100.0,7,Average
76.3,59.06833333333333,48.0,31.2,34.0,112,100.0,14,At Risk
71.0,68.51166666666667,56.333333333333336,43.0,25.1,179,100.0,8,Average
80.5,61.30833333333334,70.66666666666667,47.0,14.5,114,61.5,13,Average
78.9,62.01499999999999,56.66666666666666,25.2,25.8,82,100.0,8,Average
77.3,68.53666666666666,64.66666666666667,50.2,12.4,59,51.2,12,Average
78.5,51.22166666666666,68.66666666666667,45.4,8.3,134,66.9,7,Average
79.8,75.11666666666666,53.66666666666666,19.8,23.5,147,96.5,9,Average
79.7,47.55833333333334,46.66666666666666,35.2,29.6,67,100.0,8,At Risk
78.5,62.91666666666666,70.33333333333333,44.8,20.8,135,92.4,5,Average
75.2,70.71,37.0,52.4,32.7,156,100.0,2,At Risk
70.9,77.61666666666666,74.66666666666667,36.0,5.0,23,27.0,9,Average
64.1,59.44166666666666,57.66666666666666,57.6,13.8,172,97.4,10,Average
72.3,73.37333333333333,68.66666666666667,49.8,21.0,148,73.0,8,Average
73.0,60.415,67.0,56.6,29.1,62,100.0,12,Average
77.7,63.583333333333336,54.0,68.6,17.4,67,76.19999999999999,5,Average
78.9,62.73833333333334,67.33333333333333,48.8,29.3,115,100.0,2,Average
80.2,76.22166666666668,56.66666666666666,64.4,22.9,85,100.0,7,Average
71.1,61.931666666666665,58.0,61.2,6.4,135,31.200000000000003,9,Average
70.5,59.876666666666665,74.66666666666667,49.4,16.6,105,75.80000000000001,9,Average
75.0,65.595,65.33333333333333,62.6,5.1,114,45.3,3,Average
70.2,56.98,79.0,31.2,32.5,141,100.0,3,Average
72.9,57.93,77.0,45.8,22.5,79,100.0,2,Average
71.7,58.086666666666666,59.333333333333336,43.8,9.2,82,55.6,7,Average
75.2,58.975,59.0,59.4,14.9,66,70.7,13,Average
76.3,37.81166666666667,59.0,58.0,32.0,93,100.0,6,Average
74.0,53.70666666666667,71.33333333333333,36.4,14.4,130,65.2,6,Average
75.0,58.403333333333336,70.66666666666667,42.6,26.8,156,100.0,9,Average
72.6,63.405,30.0,38.0,23.6,22,100.0,10,At Risk
67.2,49.57,75.66666666666667,53.0,18.7,158,100.0,8,Average
72.6,60.126666666666665,60.333333333333336,57.4,26.6,62,100.0,9,Average
76.7,51.98499999999999,33.666666666666664,50.2,18.4,67,87.19999999999999,4,At Risk
69.9,55.68666666666667,72.66666666666667,49.2,5.5,90,54.5,7,Average
76.9,80.38666666666667,42.0,42.2,27.1,21,100.0,3,At Risk
73.1,68.29166666666667,82.0,38.0,23.4,144,100.0,14,High Performer
71.2,60.88,50.0,49.4,5.3,31,67.9,3,Average
67.3,48.85833333333333,67.0,55.8,28.7,25,100.0,9,Average
77.6,62.56333333333333,81.33333333333333,41.4,24.3,155,92.9,2,High Performer
71.5,63.82,57.0,29.2,30.6,38,100.0,11,Average
72.4,60.376666666666665,28.666666666666668,29.4,34.2,94,100.0,11,At Risk
75.9,52.071666666666665,60.0,43.8,28.1,122,100.0,4,Average
83.9,61.06666666666666,83.33333333333333,36.0,27.6,167,94.8,4,High Performer
72.5,66.94333333333333,72.0,44.8,18.3,129,100.0,9,Average
74.2,65.46166666666666,84.0,26.4,24.3,86,100.0,3,High Performer
74.6,65.33333333333333,56.0,52.4,5.5,29,56.5,7,Average
72.4,59.71833333333333,47.66666666666666,58.6,16.6,89,100.0,8,At Risk
74.8,54.303333333333335,78.33333333333333,21.4,32.3,106,100.0,5,Average
70.6,61.446666666666665,42.66666666666666,43.0,23.7,52,100.0,14,At Risk
69.2,49.65833333333333,66.0,20.2,30.5,72,100.0,7,Average
69.3,61.615,65.0,54.6,18.7,63,100.0,12,Average
73.4,55.431666666666665,54.66666666666666,59.2,23.6,85,82.80000000000001,8,Average
66.7,61.60833333333333,49.0,31.6,14.0,162,52.0,7,At Risk
74.2,58.145,73.33333333333333,48.8,14.4,48,81.2,3,Average
81.6,49.33166666666667,61.66666666666666,35.0,7.0,77,31.0,4,Average
63.8,57.23,62.66666666666666,42.4,22.1,128,100.0,14,Average
73.9,36.65,52.333333333333336,47.6,29.2,69,100.0,14,Average
78.9,64.005,38.0,60.2,5.8,51,57.4,7,At Risk
70.5,66.88333333333334,68.33333333333333,24.8,6.0,88,76.0,3,Average
79.6,69.69833333333334,45.66666666666666,40.4,14.6,54,87.8,12,At Risk
71.2,71.67,51.333333333333336,44.0,17.9,144,100.0,3,Average
74.3,72.94,69.0,44.6,15.7,71,95.1,9,Average
80.1,77.67666666666666,49.66666666666666,37.2,13.6,138,86.8,5,At Risk
75.5,63.84333333333333,54.0,50.2,20.0,117,78.0,3,Average
71.9,66.94833333333334,52.333333333333336,65.0,31.7,104,100.0,13,Average
66.4,56.635,52.0,34.8,15.8,120,59.400000000000006,4,Average
76.5,60.83166666666667,45.0,71.4,15.2,179,67.6,13,At Risk
73.2,48.88833333333333,54.333333333333336,54.6,17.6,119,96.8,12,Average
75.7,46.85666666666666,72.33333333333333,67.2,24.4,118,100.0,6,Average
73.0,60.08833333333333,59.0,33.0,26.1,142,100.0,10,Average
80.3,50.79,59.0,26.0,11.2,135,55.6,5,Average
74.7,68.84666666666666,64.66666666666667,60.2,11.6,80,82.8,5,Average
85.2,62.76499999999999,54.0,43.4,29.2,118,99.6,10,Average
78.7,61.18166666666667,68.66666666666667,63.2,17.5,83,96.5,7,Average
73.1,55.60833333333333,75.33333333333333,19.2,34.6,178,100.0,2,Average
72.5,57.935,74.66666666666667,33.4,27.2,89,100.0,12,Average
76.3,75.69500000000001,51.333333333333336,33.8,21.9,172,100.0,12,Average
82.1,45.22666666666667,49.66666666666666,24.4,23.2,70,100.0,5,At Risk
71.1,56.95666666666667,61.333333333333336,34.0,6.4,141,43.2,12,Average
69.1,71.83166666666666,53.0,33.2,30.0,76,100.0,4,Average
73.9,40.93333333333333,64.33333333333333,50.8,32.3,54,100.0,13,Average
74.7,62.20666666666667,75.33333333333333,51.0,19.4,124,84.19999999999999,4,Average
69.4,61.678333333333335,76.66666666666667,37.8,12.2,25,68.6,12,Average
78.3,53.56666666666666,81.66666666666667,30.6,27.6,148,98.8,5,High Performer
72.5,49.745000000000005,45.0,49.4,22.4,90,100.0,2,At Risk
78.7,67.70666666666666,47.333333333333336,39.0,26.9,175,100.0,6,At Risk
68.4,71.21,75.33333333333333,49.2,16.1,36,62.3,7,Average
79.2,73.49,40.0,30.2,17.4,38,100.0,8,At Risk
71.0,58.35999999999999,71.66666666666667,63.2,15.2,65,93.6,4,Average
72.4,62.23500000000001,57.0,67.6,19.9,34,95.7,12,Average
76.9,76.13333333333334,53.333333333333336,31.8,5.1,136,31.3,5,Average
72.8,82.01166666666667,62.66666666666666,40.4,9.0,33,49.0,2,Average
75.2,64.90833333333333,76.66666666666667,39.8,24.1,86,100.0,11,Average
66.6,61.885,73.33333333333333,19.4,24.1,127,100.0,5,Average
77.0,61.56166666666667,61.66666666666666,43.6,14.8,57,86.4,5,Average
74.8,57.45166666666666,58.0,59.6,5.6,162,68.8,14,Average
68.4,59.656666666666666,74.66666666666667,67.0,23.4,82,100.0,6,Average
83.3,56.82,31.666666666666668,65.0,15.2,146,87.6,4,At Risk
80.2,73.21166666666666,65.66666666666667,51.0,25.5,57,100.0,4,Average
73.8,62.38666666666666,81.66666666666667,28.6,22.5,104,100.0,6,High Performer
72.9,66.73333333333333,63.0,58.4,10.6,114,45.8,4,Average
79.4,55.71,64.66666666666667,65.6,29.2,99,100.0,3,Average
73.3,69.92,34.0,39.8,19.6,27,100.0,11,At Risk
85.4,58.053333333333335,63.0,44.6,33.3,148,100.0,12,Average
71.6,73.0,61.66666666666666,67.2,9.0,136,69.0,10,Average
70.4,79.20666666666666,63.0,42.0,24.9,106,84.69999999999999,7,Average
74.4,78.405,47.66666666666666,52.6,17.3,21,100.0,14,At Risk
78.6,74.05833333333334,65.33333333333333,54.8,18.2,126,100.0,9,Average
85.2,65.07666666666667,60.0,43.2,18.6,70,85.80000000000001,6,Average
81.5,57.00333333333333,42.66666666666666,55.0,34.1,48,100.0,12,At Risk
79.5,58.52333333333333,58.0,37.2,17.1,59,67.30000000000001,2,Average
75.9,65.015,73.0,27.6,7.1,32,35.3,7,Average
66.8,45.873333333333335,60.0,61.8,28.7,132,96.1,9,Average
78.8,68.35166666666667,58.333333333333336,48.0,12.4,20,71.2,3,Average
73.4,53.35166666666667,41.66666666666666,43.8,14.0,162,86.0,13,At Risk
70.3,64.665,58.0,56.8,24.7,58,100.0,2,Average
74.0,52.053333333333335,41.333333333333336,34.6,5.9,44,61.7,3,At Risk
76.0,55.583333333333336,53.66666666666666,27.8,29.5,93,100.0,6,Average
75.2,65.18333333333334,62.66666666666666,71.8,7.1,110,31.3,11,Average
74.8,63.34333333333333,60.333333333333336,57.4,22.8,131,100.0,4,Average
73.7,65.86666666666666,60.0,50.4,9.7,105,87.1,13,Average
76.0,41.295,56.66666666666666,35.2,33.2,47,100.0,12,Average
66.5,61.98166666666666,41.333333333333336,44.2,13.7,77,95.1,2,At Risk
72.4,49.40166666666667,65.33333333333333,42.4,20.5,148,79.5,5,Average
71.9,40.335,47.333333333333336,48.6,34.7,54,100.0,7,At Risk
70.7,57.25833333333333,46.66666666666666,66.2,29.3,105,100.0,2,At Risk
78.4,62.70333333333334,63.0,46.8,12.2,145,48.6,13,Average
74.8,63.17,74.66666666666667,54.4,12.5,82,81.5,12,Average
76.1,63.66333333333333,65.0,20.4,18.3,102,100.0,6,Average
75.4,43.00833333333333,59.0,49.4,14.1,124,60.3,9,Average
73.1,63.031666666666666,46.0,36.4,33.8,77,100.0,13,At Risk
72.6,54.935,52.333333333333336,52.4,11.6,148,66.8,5,Average
72.8,66.22333333333334,59.0,79.4,21.6,42,74.80000000000001,6,Average
73.4,67.16166666666668,56.0,32.4,24.0,129,100.0,14,Average
72.4,62.095,48.66666666666666,44.8,15.8,53,100.0,11,At Risk
80.0,50.51833333333334,71.0,53.6,18.3,93,90.9,9,Average
75.9,81.59166666666667,71.33333333333333,20.8,7.8,94,81.4,9,Average
70.7,54.23833333333332,64.0,42.6,5.5,152,28.5,3,Average
78.9,62.49,64.0,39.0,29.4,166,100.0,6,Average
64.6,72.51,47.0,40.2,24.5,47,89.5,8,At Risk
72.8,59.086666666666666,51.333333333333336,34.6,21.2,102,100.0,12,Average
76.7,62.873333333333335,46.333333333333336,35.4,22.8,146,100.0,11,At Risk
68.8,52.24166666666667,51.66666666666666,51.6,20.6,116,81.80000000000001,10,Average
78.5,47.545,56.0,32.0,19.6,85,96.8,14,Average
70.5,50.23499999999999,42.66666666666666,49.0,29.7,64,100.0,2,At Risk
74.5,47.77,46.333333333333336,36.0,12.9,88,88.7,13,At Risk
83.2,56.41166666666667,63.333333333333336,53.0,14.8,171,70.4,2,Average
79.9,68.07833333333333,80.33333333333333,51.4,11.5,79,56.5,2,High Performer
73.4,47.26333333333333,78.66666666666667,42.2,26.2,82,88.6,3,Average
73.6,50.76333333333334,37.333333333333336,41.4,7.5,64,34.5,10,At Risk
75.4,51.60166666666667,56.0,41.0,28.2,41,100.0,3,Average
69.1,51.925,76.33333333333333,58.2,34.3,37,100.0,13,Average
70.7,66.105,73.0,62.8,26.5,118,100.0,6,Average
70.8,63.23333333333333,78.66666666666667,63.8,6.7,55,68.1,6,Average
