Student_ID,Video_ID,Subject,Chapter,Video_Length,Watch_Time,Percentage_Completed,Number_of_Replays,Completion_Status
STU0005,VID0035,Mathematics,Probability,87,55,63.22,2,Partially Completed
STU0005,VID0036,Biology,Human Body,39,21,53.85,1,Partially Completed
STU0005,VID0037,Biology,Human Body,60,53,88.33,2,Partially Completed
STU0005,VID0038,Biology,Genetics,20,15,75.0,1,Partially Completed
STU0005,VID0039,Chemistry,Chemical Bonding,86,84,97.67,2,Completed
STU0005,VID0040,Physics,Laws of Motion,73,25,34.25,5,Not Completed
STU0006,VID0041,Physics,Motion,73,38,52.05,5,Partially Completed
STU0006,VID0042,Chemistry,Acids and Bases,37,26,70.27,0,Partially Completed
STU0006,VID0043,Chemistry,Chemical Bonding,52,15,28.85,2,Not Completed
STU0006,VID0044,Physics,Electricity,83,15,18.07,3,Not Completed
STU0006,VID0045,Physics,Work and Energy,65,15,23.08,1,Not Completed
STU0006,VID0046,Mathematics,Trigonometry,90,59,65.56,0,Partially Completed
STU0006,VID0047,Biology,Plant Physiology,24,10,41.67,4,Not Completed
STU0006,VID0048,Physics,Motion,44,21,47.73,0,Not Completed
STU0007,VID0049,Physics,Laws of Motion,34,34,100.0,5,Completed
STU0007,VID0050,Biology,Cell,89,48,53.93,2,Partially Completed
STU0007,VID0051,Chemistry,Acids and Bases,82,39,47.56,2,Not Completed
STU0007,VID0052,Biology,Genetics,65,55,84.62,5,Partially Completed
STU0007,VID0053,Physics,Laws of Motion,90,55,61.11,2,Partially Completed
STU0007,VID0054,Mathematics,Algebra,62,60,96.77,1,Completed
STU0007,VID0055,Physics,Motion,75,40,53.33,3,Partially Completed
STU0007,VID0056,Chemistry,Acids and Bases,46,32,69.57,3,Partially Completed
STU0008,VID0057,Mathematics,Trigonometry,29,14,48.28,5,Not Completed
STU0008,VID0058,Mathematics,Probability,45,41,91.11,5,Completed
STU0008,VID0059,Mathematics,Trigonometry,86,28,32.56,5,Not Completed
STU0008,VID0060,Mathematics,Calculus,31,11,35.48,1,Not Completed
STU0008,VID0061,Physics,Motion,77,21,27.27,0,Not Completed
STU0008,VID0062,Mathematics,Trigonometry,73,38,52.05,4,Partially Completed
STU0008,VID0063,Physics,Electricity,86,15,17.44,2,Not Completed
STU0008,VID0064,Biology,Human Body,68,51,75.0,2,Partially Completed
STU0009,VID0065,Chemistry,Chemical Bonding,42,19,45.24,1,Not Completed
STU0009,VID0066,Physics,Laws of Motion,83,49,59.04,1,Partially Completed
STU0009,VID0067,Chemistry,Chemical Bonding,90,87,96.67,0,Completed
STU0009,VID0068,Physics,Motion,59,46,77.97,3,Partially Completed
STU0009,VID0069,Mathematics,Probability,54,12,22.22,1,Not Completed
STU0009,VID0070,Biology,Genetics,37,12,32.43,3,Not Completed
STU0009,VID0071,Biology,Human Body,35,33,94.29,4,Completed
STU0009,VID0072,Chemistry,Acids and Bases,40,15,37.5,4,Not Completed
STU0010,VID0073,Biology,Genetics,51,43,84.31,2,Partially Completed
STU0010,VID0074,Biology,Plant Physiology,76,22,28.95,4,Not Completed
STU0010,VID0075,Physics,Work and Energy,78,50,64.1,5,Partially Completed
STU0010,VID0076,Mathematics,Trigonometry,31,17,54.84,0,Partially Completed
STU0010,VID0077,Physics,Motion,67,53,79.1,0,Partially Completed
STU0010,VID0078,Chemistry,Atoms,23,10,43.48,0,Not Completed
STU0010,VID0079,Mathematics,Algebra,90,90,100.0,0,Completed
STU0010,VID0080,Mathematics,Calculus,52,24,46.15,5,Not Completed
STU0011,VID0081,Chemistry,Acids and Bases,52,46,88.46,0,Partially Completed
STU0011,VID0082,Mathematics,Trigonometry,69,17,24.64,2,Not Completed
STU0011,VID0083,Mathematics,Trigonometry,69,34,49.28,4,Not Completed
STU0011,VID0084,Physics,Electricity,76,34,44.74,2,Not Completed
STU0011,VID0085,Biology,Plant Physiology,60,53,88.33,0,Partially Completed
STU0011,VID0086,Physics,Work and Energy,31,15,48.39,5,Not Completed
STU0011,VID0087,Physics,Motion,57,57,100.0,0,Completed
STU0011,VID0088,Chemistry,Acids and Bases,81,27,33.33,5,Not Completed
STU0012,VID0089,Physics,Motion,83,55,66.27,1,Partially Completed
STU0012,VID0090,Biology,Cell,45,25,55.56,3,Partially Completed
STU0012,VID0091,Mathematics,Calculus,64,29,45.31,3,Not Completed
STU0012,VID0092,Chemistry,Organic Chemistry,79,55,69.62,3,Partially Completed
STU0012,VID0093,Biology,Genetics,79,35,44.3,0,Not Completed
STU0012,VID0094,Biology,Genetics,77,36,46.75,5,Not Completed
STU0012,VID0095,Biology,Human Body,38,22,57.89,3,Partially Completed
STU0012,VID0096,Chemistry,Atoms,77,31,40.26,0,Not Completed
STU0013,VID0097,Mathematics,Probability,60,14,23.33,2,Not Completed
STU0013,VID0098,Mathematics,Algebra,28,20,71.43,3,Partially Completed
STU0013,VID0099,Chemistry,Chemical Bonding,76,39,51.32,5,Partially Completed
STU0013,VID0100,Mathematics,Algebra,26,15,57.69,2,Partially Completed
STU0013,VID0101,Chemistry,Chemical Bonding,32,25,78.12,0,Partially Completed
STU0013,VID0102,Chemistry,Chemical Bonding,48,38,79.17,1,Partially Completed
STU0013,VID0103,Mathematics,Trigonometry,36,26,72.22,1,Partially Completed
STU0013,VID0104,Mathematics,Algebra,52,19,36.54,3,Not Completed
STU0014,VID0105,Physics,Laws of Motion,42,19,45.24,0,Not Completed
STU0014,VID0106,Chemistry,Atoms,63,23,36.51,0,Not Completed
STU0014,VID0107,Biology,Genetics,39,17,43.59,2,Not Completed
STU0014,VID0108,Mathematics,Calculus,54,26,48.15,0,Not Completed
STU0014,VID0109,Mathematics,Probability,32,16,50.0,2,Partially Completed
STU0014,VID0110,Biology,Human Body,27,21,77.78,2,Partially Completed
STU0014,VID0111,Physics,Electricity,25,21,84.0,5,Partially Completed
STU0014,VID0112,Chemistry,Chemical Bonding,62,58,93.55,4,Completed
STU0015,VID0113,Mathematics,Trigonometry,59,49,83.05,0,Partially Completed
STU0015,VID0114,Chemistry,Chemical Bonding,45,22,48.89,0,Not Completed
STU0015,VID0115,Mathematics,Trigonometry,46,20,43.48,1,Not Completed
STU0015,VID0116,Chemistry,Atoms,39,35,89.74,0,Partially Completed
STU0015,VID0117,Biology,Genetics,33,22,66.67,3,Partially Completed
STU0015,VID0118,Mathematics,Algebra,64,34,53.12,4,Partially Completed
STU0015,VID0119,Physics,Electricity,78,76,97.44,1,Completed
STU0015,VID0120,Physics,Work and Energy,28,17,60.71,3,Partially Completed
STU0016,VID0121,Physics,Laws of Motion,59,13,22.03,1,Not Completed
STU0016,VID0122,Biology,Genetics,53,49,92.45,0,Completed
STU0016,VID0123,Physics,Laws of Motion,49,42,85.71,4,Partially Completed
STU0016,VID0124,Mathematics,Probability,67,24,35.82,5,Not Completed
STU0016,VID0125,Chemistry,Organic Chemistry,30,21,70.0,5,Partially Completed
STU0016,VID0126,Chemistry,Chemical Bonding,78,15,19.23,4,Not Completed
STU0016,VID0127,Mathematics,Trigonometry,77,66,85.71,5,Partially Completed
STU0016,VID0128,Biology,Genetics,20,13,65.0,1,Partially Completed
STU0017,VID0129,Biology,Genetics,23,16,69.57,2,Partially Completed
STU0017,VID0130,Physics,Motion,69,38,55.07,1,Partially Completed
STU0017,VID0131,Chemistry,Acids and Bases,32,24,75.0,0,Partially Completed
STU0017,VID0132,Physics,Laws of Motion,22,15,68.18,2,Partially Completed
STU0017,VID0133,Chemistry,Chemical Bonding,33,23,69.7,1,Partially Completed
STU0017,VID0134,Biology,Genetics,65,18,27.69,0,Not Completed
STU0017,VID0135,Physics,Work and Energy,87,63,72.41,5,Partially Completed
STU0017,VID0136,Mathematics,Trigonometry,80,20,25.0,1,Not Completed
STU0018,VID0137,Mathematics,Algebra,30,26,86.67,1,Partially Completed
STU0018,VID0138,Physics,Electricity,68,58,85.29,0,Partially Completed
STU0018,VID0139,Biology,Genetics,43,30,69.77,3,Partially Completed
STU0018,VID0140,Physics,Motion,46,43,93.48,4,Completed
STU0018,VID0141,Mathematics,Probability,85,67,78.82,3,Partially Completed
STU0018,VID0142,Biology,Cell,79,19,24.05,0,Not Completed
STU0018,VID0143,Physics,Laws of Motion,51,22,43.14,0,Not Completed
STU0018,VID0144,Biology,Human Body,70,21,30.0,3,Not Completed
STU0019,VID0145,Chemistry,Acids and Bases,31,22,70.97,3,Partially Completed
STU0019,VID0146,Chemistry,Atoms,90,51,56.67,3,Partially Completed
STU0019,VID0147,Physics,Laws of Motion,65,44,67.69,0,Partially Completed
STU0019,VID0148,Physics,Laws of Motion,22,10,45.45,3,Not Completed
STU0019,VID0149,Biology,Cell,79,51,64.56,5,Partially Completed
STU0019,VID0150,Chemistry,Chemical Bonding,81,39,48.15,3,Not Completed
STU0019,VID0151,Biology,Cell,77,36,46.75,5,Not Completed
STU0019,VID0152,Mathematics,Probability,86,34,39.53,2,Not Completed
STU0020,VID0153,Biology,Human Body,56,51,91.07,4,Completed
STU0020,VID0154,Biology,Plant Physiology,86,53,61.63,5,Partially Completed
STU0020,VID0155,Chemistry,Organic Chemistry,43,33,76.74,2,Partially Completed
STU0020,VID0156,Mathematics,Probability,49,24,48.98,5,Not Completed
STU0020,VID0157,Chemistry,Atoms,44,26,59.09,2,Partially Completed
STU0020,VID0158,Chemistry,Atoms,47,46,97.87,0,Completed
STU0020,VID0159,Biology,Genetics,84,63,75.0,0,Partially Completed
STU0020,VID0160,Physics,Work and Energy,50,41,82.0,4,Partially Completed
STU0021,VID0161,Biology,Plant Physiology,56,42,75.0,5,Partially Completed
STU0021,VID0162,Chemistry,Organic Chemistry,24,16,66.67,4,Partially Completed
STU0021,VID0163,Biology,Human Body,41,22,53.66,1,Partially Completed
STU0021,VID0164,Physics,Electricity,85,32,37.65,5,Not Completed
STU0021,VID0165,Mathematics,Algebra,56,47,83.93,0,Partially Completed
STU0021,VID0166,Physics,Motion,23,13,56.52,0,Partially Completed
STU0021,VID0167,Chemistry,Chemical Bonding,32,28,87.5,2,Partially Completed
STU0021,VID0168,Mathematics,Trigonometry,71,57,80.28,1,Partially Completed
STU0022,VID0169,Physics,Laws of Motion,41,38,92.68,4,Completed
STU0022,VID0170,Mathematics,Probability,39,35,89.74,5,Partially Completed
STU0022,VID0171,Mathematics,Trigonometry,25,16,64.0,4,Partially Completed
STU0022,VID0172,Chemistry,Chemical Bonding,29,17,58.62,4,Partially Completed
STU0022,VID0173,Chemistry,Acids and Bases,25,23,92.0,0,Completed
STU0022,VID0174,Physics,Work and Energy,60,15,25.0,3,Not Completed
STU0022,VID0175,Chemistry,Atoms,48,33,68.75,1,Partially Completed
STU0022,VID0176,Physics,Work and Energy,49,48,97.96,4,Completed
STU0023,VID0177,Chemistry,Chemical Bonding,25,12,48.0,1,Not Completed
STU0023,VID0178,Physics,Laws of Motion,46,29,63.04,1,Partially Completed
STU0023,VID0179,Mathematics,Trigonometry,32,27,84.38,2,Partially Completed
STU0023,VID0180,Chemistry,Organic Chemistry,36,21,58.33,2,Partially Completed
STU0023,VID0181,Physics,Work and Energy,56,54,96.43,3,Completed
STU0023,VID0182,Mathematics,Probability,66,33,50.0,4,Partially Completed
STU0023,VID0183,Physics,Electricity,47,22,46.81,2,Not Completed
STU0023,VID0184,Mathematics,Algebra,60,25,41.67,5,Not Completed
STU0024,VID0185,Mathematics,Trigonometry,81,49,60.49,2,Partially Completed
STU0024,VID0186,Biology,Plant Physiology,81,57,70.37,2,Partially Completed
STU0024,VID0187,Chemistry,Chemical Bonding,39,25,64.1,1,Partially Completed
STU0024,VID0188,Chemistry,Acids and Bases,68,13,19.12,1,Not Completed
STU0024,VID0189,Chemistry,Atoms,27,23,85.19,0,Partially Completed
STU0024,VID0190,Chemistry,Organic Chemistry,35,35,100.0,5,Completed
STU0024,VID0191,Physics,Electricity,54,23,42.59,4,Not Completed
STU0024,VID0192,Biology,Human Body,64,11,17.19,1,Not Completed
STU0025,VID0193,Chemistry,Acids and Bases,79,26,32.91,0,Not Completed
STU0025,VID0194,Biology,Cell,59,47,79.66,4,Partially Completed
STU0025,VID0195,Biology,Plant Physiology,90,30,33.33,3,Not Completed
STU0025,VID0196,Physics,Electricity,81,24,29.63,2,Not Completed
STU0025,VID0197,Chemistry,Acids and Bases,26,25,96.15,1,Completed
STU0025,VID0198,Biology,Cell,60,53,88.33,5,Partially Completed
STU0025,VID0199,Biology,Human Body,80,72,90.0,1,Completed
STU0025,VID0200,Mathematics,Algebra,35,11,31.43,3,Not Completed
STU0026,VID0201,Mathematics,Probability,84,79,94.05,4,Completed
STU0026,VID0202,Biology,Plant Physiology,29,12,41.38,3,Not Completed
STU0026,VID0203,Mathematics,Calculus,82,68,82.93,1,Partially Completed
STU0026,VID0204,Physics,Electricity,69,19,27.54,4,Not Completed
STU0026,VID0205,Biology,Plant Physiology,25,23,92.0,4,Completed
STU0026,VID0206,Mathematics,Calculus,64,15,23.44,2,Not Completed
STU0026,VID0207,Physics,Laws of Motion,51,19,37.25,3,Not Completed
STU0026,VID0208,Chemistry,Acids and Bases,57,39,68.42,1,Partially Completed
STU0027,VID0209,Biology,Plant Physiology,72,61,84.72,4,Partially Completed
STU0027,VID0210,Physics,Work and Energy,40,27,67.5,3,Partially Completed
STU0027,VID0211,Physics,Work and Energy,56,33,58.93,2,Partially Completed
STU0027,VID0212,Mathematics,Probability,29,13,44.83,2,Not Completed
STU0027,VID0213,Mathematics,Trigonometry,67,42,62.69,4,Partially Completed
STU0027,VID0214,Chemistry,Organic Chemistry,31,21,67.74,0,Partially Completed
STU0027,VID0215,Mathematics,Probability,73,49,67.12,1,Partially Completed
STU0027,VID0216,Mathematics,Trigonometry,71,38,53.52,1,Partially Completed
STU0028,VID0217,Physics,Work and Energy,84,51,60.71,2,Partially Completed
STU0028,VID0218,Mathematics,Calculus,48,36,75.0,2,Partially Completed
STU0028,VID0219,Chemistry,Organic Chemistry,81,49,60.49,4,Partially Completed
STU0028,VID0220,Physics,Electricity,84,70,83.33,4,Partially Completed
STU0028,VID0221,Chemistry,Atoms,85,44,51.76,3,Partially Completed
STU0028,VID0222,Biology,Human Body,35,33,94.29,3,Completed
STU0028,VID0223,Biology,Human Body,38,38,100.0,4,Completed
STU0028,VID0224,Physics,Laws of Motion,70,58,82.86,5,Partially Completed
STU0029,VID0225,Chemistry,Atoms,63,56,88.89,4,Partially Completed
STU0029,VID0226,Biology,Plant Physiology,38,32,84.21,2,Partially Completed
STU0029,VID0227,Biology,Cell,82,81,98.78,4,Completed
STU0029,VID0228,Chemistry,Organic Chemistry,75,68,90.67,3,Completed
STU0029,VID0229,Physics,Laws of Motion,78,68,87.18,0,Partially Completed
STU0029,VID0230,Physics,Motion,41,24,58.54,4,Partially Completed
STU0029,VID0231,Chemistry,Atoms,25,15,60.0,0,Partially Completed
STU0029,VID0232,Physics,Motion,55,30,54.55,0,Partially Completed
STU0030,VID0233,Biology,Human Body,37,19,51.35,2,Partially Completed
STU0030,VID0234,Physics,Motion,23,19,82.61,1,Partially Completed
STU0030,VID0235,Biology,Human Body,36,14,38.89,3,Not Completed
STU0030,VID0236,Chemistry,Acids and Bases,58,19,32.76,1,Not Completed
STU0030,VID0237,Physics,Electricity,65,35,53.85,5,Partially Completed
STU0030,VID0238,Physics,Motion,60,51,85.0,4,Partially Completed
STU0030,VID0239,Chemistry,Atoms,45,13,28.89,3,Not Completed
STU0030,VID0240,Biology,Human Body,42,42,100.0,3,Completed
STU0031,VID0241,Chemistry,Acids and Bases,62,31,50.0,3,Partially Completed
STU0031,VID0242,Mathematics,Probability,42,19,45.24,0,Not Completed
STU0031,VID0243,Physics,Electricity,77,57,74.03,5,Partially Completed
STU0031,VID0244,Physics,Motion,34,31,91.18,4,Completed
STU0031,VID0245,Physics,Work and Energy,84,15,17.86,3,Not Completed
STU0031,VID0246,Mathematics,Algebra,25,21,84.0,2,Partially Completed
STU0031,VID0247,Mathematics,Trigonometry,86,76,88.37,2,Partially Completed
STU0031,VID0248,Physics,Laws of Motion,43,13,30.23,3,Not Completed
STU0032,VID0249,Chemistry,Atoms,61,61,100.0,5,Completed
STU0032,VID0250,Physics,Electricity,55,16,29.09,4,Not Completed
STU0032,VID0251,Mathematics,Probability,24,22,91.67,2,Completed
STU0032,VID0252,Biology,Genetics,44,16,36.36,1,Not Completed
STU0032,VID0253,Mathematics,Calculus,31,20,64.52,1,Partially Completed
STU0032,VID0254,Biology,Genetics,53,50,94.34,4,Completed
STU0032,VID0255,Biology,Plant Physiology,72,40,55.56,0,Partially Completed
STU0032,VID0256,Physics,Laws of Motion,42,22,52.38,5,Partially Completed
STU0033,VID0257,Biology,Plant Physiology,39,27,69.23,4,Partially Completed
STU0033,VID0258,Physics,Electricity,90,82,91.11,0,Completed
STU0033,VID0259,Biology,Genetics,59,41,69.49,0,Partially Completed
STU0033,VID0260,Mathematics,Algebra,37,28,75.68,5,Partially Completed
STU0033,VID0261,Biology,Cell,79,55,69.62,4,Partially Completed
STU0033,VID0262,Biology,Genetics,49,49,100.0,3,Completed
STU0033,VID0263,Biology,Human Body,70,47,67.14,5,Partially Completed
STU0033,VID0264,Chemistry,Chemical Bonding,35,13,37.14,2,Not Completed
STU0034,VID0265,Physics,Motion,89,59,66.29,5,Partially Completed
STU0034,VID0266,Mathematics,Probability,51,35,68.63,4,Partially Completed
STU0034,VID0267,Mathematics,Calculus,83,12,14.46,0,Not Completed
STU0034,VID0268,Physics,Laws of Motion,86,57,66.28,2,Partially Completed
STU0034,VID0269,Biology,Genetics,52,18,34.62,0,Not Completed
STU0034,VID0270,Biology,Cell,52,21,40.38,4,Not Completed
STU0034,VID0271,Biology,Plant Physiology,51,29,56.86,5,Partially Completed
STU0034,VID0272,Physics,Electricity,21,20,95.24,2,Completed
STU0035,VID0273,Biology,Plant Physiology,23,17,73.91,1,Partially Completed
STU0035,VID0274,Physics,Motion,41,28,68.29,2,Partially Completed
STU0035,VID0275,Biology,Plant Physiology,39,37,94.87,4,Completed
STU0035,VID0276,Chemistry,Chemical Bonding,54,42,77.78,3,Partially Completed
STU0035,VID0277,Mathematics,Algebra,31,22,70.97,3,Partially Completed
STU0035,VID0278,Physics,Laws of Motion,56,12,21.43,2,Not Completed
STU0035,VID0279,Physics,Laws of Motion,64,38,59.38,0,Partially Completed
STU0035,VID0280,Physics,Electricity,80,47,58.75,2,Partially Completed
STU0036,VID0281,Chemistry,Chemical Bonding,55,43,78.18,2,Partially Completed
STU0036,VID0282,Chemistry,Acids and Bases,30,12,40.0,2,Not Completed
STU0036,VID0283,Physics,Work and Energy,71,29,40.85,1,Not Completed
STU0036,VID0284,Chemistry,Acids and Bases,58,55,94.83,3,Completed
STU0036,VID0285,Chemistry,Atoms,55,10,18.18,1,Not Completed
STU0036,VID0286,Mathematics,Probability,75,43,57.33,4,Partially Completed
STU0036,VID0287,Mathematics,Calculus,86,11,12.79,5,Not Completed
STU0036,VID0288,Chemistry,Chemical Bonding,39,27,69.23,2,Partially Completed
STU0037,VID0289,Biology,Genetics,57,50,87.72,1,Partially Completed
STU0037,VID0290,Chemistry,Chemical Bonding,72,65,90.28,5,Completed
STU0037,VID0291,Chemistry,Acids and Bases,60,48,80.0,5,Partially Completed
STU0037,VID0292,Mathematics,Calculus,30,13,43.33,5,Not Completed
STU0037,VID0293,Physics,Work and Energy,68,43,63.24,0,Partially Completed
STU0037,VID0294,Physics,Electricity,20,16,80.0,4,Partially Completed
STU0037,VID0295,Mathematics,Algebra,79,22,27.85,1,Not Completed
STU0037,VID0296,Physics,Motion,33,12,36.36,3,Not Completed
STU0038,VID0297,Chemistry,Atoms,86,33,38.37,5,Not Completed
STU0038,VID0298,Mathematics,Probability,67,57,85.07,2,Partially Completed
STU0038,VID0299,Physics,Laws of Motion,20,20,100.0,4,Completed
STU0038,VID0300,Biology,Plant Physiology,21,21,100.0,5,Completed
STU0038,VID0301,Physics,Laws of Motion,58,49,84.48,1,Partially Completed
STU0038,VID0302,Physics,Electricity,21,15,71.43,0,Partially Completed
STU0038,VID0303,Chemistry,Organic Chemistry,32,29,90.62,5,Completed
STU0038,VID0304,Mathematics,Calculus,41,33,80.49,3,Partially Completed
STU0039,VID0305,Physics,Work and Energy,76,36,47.37,4,Not Completed
STU0039,VID0306,Mathematics,Trigonometry,54,39,72.22,5,Partially Completed
STU0039,VID0307,Mathematics,Algebra,32,14,43.75,1,Not Completed
STU0039,VID0308,Physics,Work and Energy,90,62,68.89,5,Partially Completed
STU0039,VID0309,Mathematics,Algebra,20,19,95.0,3,Completed
STU0039,VID0310,Physics,Work and Energy,33,29,87.88,1,Partially Completed
STU0039,VID0311,Physics,Work and Energy,67,50,74.63,3,Partially Completed
STU0039,VID0312,Physics,Work and Energy,71,23,32.39,2,Not Completed
STU0040,VID0313,Physics,Laws of Motion,60,16,26.67,3,Not Completed
STU0040,VID0314,Physics,Work and Energy,39,33,84.62,0,Partially Completed
STU0040,VID0315,Chemistry,Atoms,74,13,17.57,1,Not Completed
STU0040,VID0316,Biology,Plant Physiology,87,33,37.93,0,Not Completed
STU0040,VID0317,Physics,Motion,82,64,78.05,1,Partially Completed
STU0040,VID0318,Mathematics,Probability,21,12,57.14,1,Partially Completed
STU0040,VID0319,Mathematics,Calculus,74,68,91.89,2,Completed
STU0040,VID0320,Chemistry,Atoms,32,11,34.38,3,Not Completed
STU0041,VID0321,Chemistry,Organic Chemistry,28,23,82.14,3,Partially Completed
STU0041,VID0322,Physics,Laws of Motion,88,34,38.64,1,Not Completed
STU0041,VID0323,Biology,Human Body,90,26,28.89,0,Not Completed
STU0041,VID0324,Chemistry,Atoms,57,12,21.05,0,Not Completed
STU0041,VID0325,Biology,Plant Physiology,25,19,76.0,3,Partially Completed
STU0041,VID0326,Mathematics,Trigonometry,25,10,40.0,5,Not Completed
STU0041,VID0327,Physics,Electricity,68,13,19.12,0,Not Completed
STU0041,VID0328,Chemistry,Atoms,38,23,60.53,1,Partially Completed
STU0042,VID0329,Mathematics,Trigonometry,53,22,41.51,3,Not Completed
STU0042,VID0330,Mathematics,Probability,64,36,56.25,4,Partially Completed
STU0042,VID0331,Chemistry,Acids and Bases,81,38,46.91,3,Not Completed
STU0042,VID0332,Physics,Work and Energy,76,27,35.53,3,Not Completed
STU0042,VID0333,Chemistry,Organic Chemistry,62,49,79.03,4,Partially Completed
STU0042,VID0334,Biology,Genetics,87,63,72.41,0,Partially Completed
STU0042,VID0335,Mathematics,Probability,62,11,17.74,3,Not Completed
STU0042,VID0336,Chemistry,Chemical Bonding,85,26,30.59,3,Not Completed
STU0043,VID0337,Physics,Work and Energy,86,40,46.51,1,Not Completed
STU0043,VID0338,Chemistry,Atoms,47,47,100.0,4,Completed
STU0043,VID0339,Biology,Plant Physiology,37,30,81.08,5,Partially Completed
STU0043,VID0340,Biology,Plant Physiology,23,12,52.17,2,Partially Completed
STU0043,VID0341,Chemistry,Chemical Bonding,88,33,37.5,0,Not Completed
STU0043,VID0342,Chemistry,Organic Chemistry,30,28,93.33,4,Completed
STU0043,VID0343,Physics,Motion,37,17,45.95,3,Not Completed
STU0043,VID0344,Mathematics,Trigonometry,64,22,34.38,2,Not Completed
STU0044,VID0345,Physics,Electricity,77,48,62.34,5,Partially Completed
STU0044,VID0346,Mathematics,Calculus,69,44,63.77,5,Partially Completed
STU0044,VID0347,Biology,Human Body,82,23,28.05,3,Not Completed
STU0044,VID0348,Physics,Work and Energy,58,24,41.38,0,Not Completed
STU0044,VID0349,Biology,Plant Physiology,34,30,88.24,1,Partially Completed
STU0044,VID0350,Mathematics,Trigonometry,20,15,75.0,4,Partially Completed
STU0044,VID0351,Mathematics,Trigonometry,78,67,85.9,5,Partially Completed
STU0044,VID0352,Chemistry,Chemical Bonding,28,17,60.71,5,Partially Completed
STU0045,VID0353,Chemistry,Acids and Bases,68,16,23.53,1,Not Completed
STU0045,VID0354,Mathematics,Calculus,60,37,61.67,4,Partially Completed
STU0045,VID0355,Biology,Cell,83,19,22.89,2,Not Completed
STU0045,VID0356,Chemistry,Organic Chemistry,67,55,82.09,1,Partially Completed
STU0045,VID0357,Physics,Work and Energy,46,23,50.0,0,Partially Completed
STU0045,VID0358,Biology,Plant Physiology,21,14,66.67,1,Partially Completed
STU0045,VID0359,Physics,Work and Energy,81,14,17.28,0,Not Completed
STU0045,VID0360,Physics,Electricity,55,18,32.73,2,Not Completed
STU0046,VID0361,Mathematics,Trigonometry,41,35,85.37,2,Partially Completed
STU0046,VID0362,Mathematics,Probability,26,20,76.92,0,Partially Completed
STU0046,VID0363,Physics,Laws of Motion,51,36,70.59,1,Partially Completed
STU0046,VID0364,Mathematics,Calculus,48,44,91.67,5,Completed
STU0046,VID0365,Mathematics,Calculus,79,21,26.58,4,Not Completed
STU0046,VID0366,Biology,Cell,72,54,75.0,2,Partially Completed
STU0046,VID0367,Chemistry,Acids and Bases,63,13,20.63,3,Not Completed
STU0046,VID0368,Physics,Electricity,71,16,22.54,0,Not Completed
STU0047,VID0369,Chemistry,Atoms,43,41,95.35,2,Completed
STU0047,VID0370,Biology,Human Body,33,12,36.36,3,Not Completed
