Student_ID,Login_Frequency,Weekly_Study_Hours,Average_Session_Duration,Consecutive_Study_Days,Sessions_Per_Week
STU0401,7,14.4,119,26,6
STU0402,25,6.0,166,15,4
STU0403,20,11.0,163,12,8
STU0404,20,24.9,70,3,11
STU0405,23,30.3,67,2,12
STU0406,18,17.7,33,11,10
STU0407,24,19.4,180,15,3
STU0408,22,30.4,152,20,6
STU0409,11,13.6,80,23,7
STU0410,8,9.0,65,11,3
STU0411,10,23.2,158,8,5
STU0412,13,23.0,107,22,7
STU0413,24,16.1,30,3,3
STU0414,29,9.2,170,12,8
STU0415,10,23.1,107,14,7
STU0416,14,27.1,20,3,5
STU0417,27,28.4,156,14,6
STU0418,18,30.2,51,13,5
STU0419,13,26.1,179,15,12
STU0420,11,9.6,81,1,12
STU0421,21,13.0,155,12,3
STU0422,26,23.6,173,1,3
STU0423,13,15.2,49,3,5
STU0424,24,12.0,80,6,14
STU0425,9,15.9,102,22,6
STU0426,8,16.3,162,26,13
STU0427,26,29.5,50,23,2
STU0428,26,34.3,97,13,8
STU0429,11,20.8,97,1,5
STU0430,11,12.6,155,20,11
STU0431,9,17.4,168,19,6
STU0432,12,21.7,41,19,10
STU0433,26,9.5,118,14,3
STU0434,18,5.1,74,16,11
STU0435,7,30.5,72,5,12
STU0436,26,28.2,39,23,4
STU0437,7,12.7,158,27,9
STU0438,11,20.7,46,4,5
STU0439,15,20.0,170,28,6
STU0440,10,12.3,74,22,11
STU0441,19,10.1,142,10,4
STU0442,27,19.5,96,12,13
STU0443,22,23.0,141,24,6
STU0444,30,29.5,139,11,5
STU0445,23,11.5,33,4,12
STU0446,19,28.8,89,16,10
STU0447,17,25.6,26,18,8
STU0448,13,12.4,66,8,12
STU0449,14,26.5,79,14,14
STU0450,23,32.0,48,13,6
STU0451,19,11.0,131,14,2
STU0452,21,8.0,36,2,11
STU0453,27,13.2,114,8,3
STU0454,14,12.3,101,11,5
STU0455,8,25.9,95,9,11
STU0456,25,8.4,87,12,3
STU0457,6,8.8,29,29,3
STU0458,26,22.7,72,17,2
STU0459,23,27.0,61,16,14
STU0460,20,31.3,109,21,12
STU0461,12,31.9,73,10,2
STU0462,13,26.2,67,22,14
STU0463,9,12.9,80,12,5
STU0464,25,10.7,172,30,11
STU0465,30,16.1,179,28,4
STU0466,18,33.5,92,30,8
STU0467,23,33.1,81,4,10
STU0468,14,18.7,165,5,8
STU0469,24,10.4,38,9,11
STU0470,5,17.0,48,30,10
STU0471,10,32.8,123,16,13
STU0472,26,8.5,87,7,9
STU0473,27,23.4,79,4,8
STU0474,30,23.3,129,15,14
STU0475,20,31.2,129,1,10
STU0476,10,9.0,138,1,3
STU0477,16,32.7,72,22,12
STU0478,7,15.3,78,27,2
STU0479,21,30.8,92,2,8
STU0480,9,5.4,66,13,9
STU0481,18,8.6,82,21,3
STU0482,29,9.5,178,7,4
STU0483,5,22.7,106,20,3
STU0484,10,26.9,86,9,8
STU0485,21,18.5,94,18,5
STU0486,20,25.0,113,13,3
STU0487,18,34.1,136,30,3
STU0488,24,18.6,122,21,11
STU0489,9,21.1,178,5,4
STU0490,23,21.4,47,16,8
STU0491,23,9.9,61,22,2
STU0492,7,10.1,50,2,11
STU0493,26,17.4,100,28,5
STU0494,13,34.5,29,5,8
STU0495,26,33.8,68,2,7
STU0496,9,29.0,23,6,6
STU0497,14,30.8,107,19,8
STU0498,27,22.2,76,13,13
STU0499,16,9.5,114,16,3
STU0500,20,29.0,122,6,5
STU0501,8,11.2,147,19,8
STU0502,5,34.2,94,26,5
STU0503,21,23.9,103,2,3
STU0504,25,14.2,142,7,2
STU0505,17,31.0,77,16,6
STU0506,10,22.9,46,1,14
STU0507,6,21.3,177,24,7
STU0508,22,11.0,171,24,7
STU0509,27,30.0,163,2,6
STU0510,18,21.9,68,7,6
STU0511,24,31.9,93,28,2
STU0512,10,14.4,86,26,7
STU0513,9,21.7,109,25,10
STU0514,15,6.0,149,29,9
STU0515,8,10.5,121,25,9
STU0516,30,23.3,101,1,8
STU0517,19,16.3,110,7,2
STU0518,20,20.9,122,12,8
STU0519,16,8.1,116,2,14
STU0520,6,13.6,30,23,2
STU0521,30,32.9,162,8,5
STU0522,18,15.7,31,11,2
STU0523,30,6.7,92,18,5
STU0524,12,18.7,44,1,6
STU0525,8,26.4,85,25,8
STU0526,8,33.9,61,28,3
STU0527,9,33.1,152,10,10
STU0528,8,6.8,62,18,11
STU0529,24,25.0,148,26,4
STU0530,17,13.0,70,20,4
STU0531,6,26.7,31,27,9
STU0532,7,22.1,175,25,8
STU0533,17,34.8,178,27,9
STU0534,5,21.7,56,3,13
STU0535,17,5.0,120,9,13
STU0536,15,17.9,159,28,12
STU0537,5,5.9,150,15,12
STU0538,26,19.4,106,13,4
STU0539,16,11.1,22,10,7
STU0540,17,29.8,92,6,14
STU0541,13,10.6,139,4,4
STU0542,18,32.1,57,1,11
STU0543,24,28.9,75,23,13
STU0544,23,20.6,96,4,9
STU0545,6,19.1,50,25,5
STU0546,13,31.2,23,24,5
STU0547,19,14.4,161,17,3
STU0548,11,22.2,81,4,14
STU0549,14,13.7,137,8,12
STU0550,17,18.5,60,7,8
STU0551,5,7.0,123,2,11
STU0552,16,30.5,113,19,6
STU0553,5,21.5,105,26,4
STU0554,18,10.7,25,27,12
STU0555,8,7.3,101,25,14
STU0556,26,28.4,163,12,14
STU0557,7,19.8,147,5,2
STU0558,30,9.6,51,20,8
STU0559,8,23.6,33,13,5
STU0560,25,16.5,57,23,11
STU0561,26,15.0,51,12,4
STU0562,17,15.3,61,2,2
STU0563,12,12.2,127,17,12
STU0564,24,14.8,60,6,9
STU0565,6,32.6,75,25,13
STU0566,13,28.2,150,17,2
STU0567,26,10.0,30,10,7
STU0568,29,26.8,166,22,14
STU0569,29,33.9,74,11,4
STU0570,13,5.7,130,27,5
STU0571,24,8.8,26,1,14
STU0572,8,23.7,33,12,7
STU0573,23,32.0,175,15,10
STU0574,9,24.6,131,3,6
STU0575,20,19.7,144,5,2
STU0576,12,29.5,88,29,13
STU0577,26,19.8,149,22,12
STU0578,22,10.5,173,30,11
STU0579,5,25.9,63,11,7
STU0580,16,30.0,29,14,11
STU0581,14,28.6,117,14,2
STU0582,27,9.6,72,29,12
STU0583,12,23.7,61,24,4
STU0584,11,11.5,171,27,14
STU0585,27,19.7,85,2,8
STU0586,19,13.1,98,18,2
STU0587,10,22.2,70,14,2
STU0588,20,30.5,120,22,4
STU0589,9,9.5,137,10,8
STU0590,9,19.3,128,24,3
STU0591,10,34.9,94,24,4
STU0592,13,34.9,134,26,2
STU0593,14,30.9,169,28,11
STU0594,18,16.1,162,22,9
STU0595,28,6.2,54,22,11
STU0596,6,17.5,27,3,10
STU0597,19,31.3,82,15,11
STU0598,11,24.1,54,12,8
STU0599,30,28.1,67,15,3
STU0600,21,30.0,51,3,10
STU0601,17,11.3,66,28,3
STU0602,22,23.5,133,21,2
STU0603,9,25.8,170,1,14
STU0604,24,30.1,53,5,5
STU0605,29,6.4,113,20,10
STU0606,29,24.3,68,26,2
STU0607,12,17.2,96,1,3
STU0608,12,10.5,23,5,12
STU0609,7,6.5,45,12,3
STU0610,29,32.0,138,14,10
STU0611,28,16.2,173,20,6
STU0612,30,28.2,67,28,14
STU0613,11,26.9,63,18,14
STU0614,27,29.9,42,19,13
STU0615,24,13.3,133,1,13
STU0616,5,9.9,103,14,10
STU0617,8,5.1,180,28,9
STU0618,28,30.5,30,10,8
STU0619,11,15.6,166,7,2
STU0620,12,25.6,124,30,11
STU0621,6,8.3,45,5,5
STU0622,19,14.6,61,11,8
STU0623,8,30.7,129,22,8
STU0624,17,33.4,60,4,7
STU0625,29,18.9,110,30,11
STU0626,25,17.2,74,24,4
STU0627,7,20.2,88,16,10
STU0628,25,10.4,131,19,11
STU0629,12,29.1,108,6,7
STU0630,17,15.3,143,24,11
STU0631,12,20.4,76,1,10
STU0632,23,21.8,135,2,5
STU0633,17,9.7,113,12,11
STU0634,22,26.6,97,2,3
STU0635,23,31.9,139,29,8
STU0636,24,9.7,170,16,8
STU0637,5,9.8,64,23,2
STU0638,5,9.8,23,28,3
STU0639,28,10.1,101,30,3
STU0640,25,14.4,147,22,8
STU0641,28,30.2,42,25,6
STU0642,9,18.9,173,13,7
STU0643,18,10.0,96,18,12
STU0644,12,16.6,122,12,2
STU0645,12,5.4,107,11,7
STU0646,23,27.9,28,5,2
STU0647,19,25.5,177,30,14
STU0648,29,20.3,172,9,7
STU0649,18,18.9,142,14,7
STU0650,27,33.3,90,15,4
STU0651,8,33.0,31,11,4
STU0652,27,28.9,20,8,9
STU0653,14,6.9,159,17,6
STU0654,18,31.7,91,12,4
STU0655,6,29.0,141,21,6
STU0656,6,17.0,88,1,2
STU0657,8,15.8,45,28,6
STU0658,28,31.2,113,28,4
STU0659,9,31.1,125,20,4
STU0660,8,19.5,177,30,3
STU0661,19,14.6,113,24,8
STU0662,6,6.7,29,16,3
STU0663,7,28.7,166,8,14
STU0664,13,8.4,107,20,6
STU0665,26,15.6,42,10,9
STU0666,8,23.0,42,12,6
STU0667,12,28.5,41,18,3
STU0668,27,25.9,130,24,5
STU0669,6,24.8,22,4,12
STU0670,16,6.9,136,28,12
STU0671,12,11.9,42,27,3
STU0672,6,13.3,145,28,9
STU0673,14,28.9,60,24,2
STU0674,24,6.5,122,5,7
STU0675,19,29.8,150,9,2
STU0676,25,8.4,56,4,2
STU0677,8,30.3,81,1,3
STU0678,13,5.4,127,23,14
STU0679,29,11.9,42,10,12
STU0680,22,14.9,120,17,4
STU0681,9,19.3,81,5,12
STU0682,24,16.5,150,15,6
STU0683,22,23.2,128,17,14
STU0684,20,22.0,88,11,12
STU0685,18,28.6,22,15,5
STU0686,27,25.3,121,13,11
STU0687,24,14.7,151,5,12
STU0688,5,33.6,117,4,10
STU0689,23,32.9,180,19,5
STU0690,10,29.6,155,5,8
STU0691,11,13.1,125,23,11
STU0692,27,8.8,43,12,5
STU0693,26,32.0,59,30,6
STU0694,28,20.9,88,10,10
STU0695,8,26.0,148,17,11
STU0696,25,22.3,34,12,14
STU0697,25,23.3,60,16,5
STU0698,25,34.4,123,11,5
STU0699,11,14.6,100,6,11
STU0700,12,18.3,70,23,11
STU0701,7,28.7,159,16,12
STU0702,6,34.1,143,1,9
STU0703,29,33.4,21,26,10
STU0704,6,20.7,36,11,11
STU0705,29,18.7,73,13,8
STU0706,15,12.3,161,23,7
STU0707,26,21.3,130,20,6
STU0708,21,15.9,56,5,6
STU0709,25,32.6,60,16,2
STU0710,16,10.6,68,9,12
STU0711,27,34.8,51,27,14
STU0712,22,14.0,138,12,8
STU0713,28,17.3,120,3,2
STU0714,23,5.5,102,5,5
STU0715,15,32.4,20,18,3
STU0716,16,20.8,97,19,10
STU0717,24,21.1,57,4,9
STU0718,10,7.0,93,23,7
STU0719,29,18.7,139,10,10
STU0720,30,30.9,164,8,10
STU0721,27,33.7,159,22,6
STU0722,17,21.9,59,28,5
STU0723,18,30.8,51,29,5
STU0724,5,27.5,75,19,12
STU0725,18,11.0,40,10,8
STU0726,24,8.2,146,11,11
STU0727,10,9.5,170,12,3
STU0728,28,15.8,44,4,7
STU0729,22,23.6,146,22,3
STU0730,27,25.1,78,21,3
STU0731,28,6.9,172,20,2
STU0732,6,5.3,71,30,3
STU0733,26,9.5,153,1,13
STU0734,19,19.7,132,3,13
STU0735,10,15.0,49,22,11
STU0736,14,25.0,136,27,13
STU0737,15,13.1,112,29,11
STU0738,18,10.0,32,14,13
STU0739,6,24.5,180,17,9
STU0740,10,14.4,26,23,10
STU0741,18,16.2,21,12,9
STU0742,30,6.2,70,27,7
STU0743,25,32.2,118,28,11
STU0744,29,18.4,67,3,6
STU0745,27,27.6,151,16,4
STU0746,10,6.6,56,13,12
STU0747,8,22.2,172,20,3
STU0748,9,27.2,129,9,4
STU0749,28,18.0,120,11,7
STU0750,10,17.4,81,4,5
STU0751,20,19.9,41,15,11
STU0752,15,24.4,107,28,11
STU0753,8,20.1,45,28,2
STU0754,22,28.6,138,7,11
STU0755,13,11.4,43,27,9
STU0756,19,24.4,65,11,5
STU0757,12,29.0,159,27,2
STU0758,15,24.1,94,1,7
STU0759,22,27.2,156,23,11
STU0760,23,7.8,161,24,5
STU0761,5,24.4,52,17,13
STU0762,30,5.7,144,12,5
STU0763,28,9.9,54,1,9
STU0764,19,28.4,55,13,6
STU0765,8,21.1,110,6,13
STU0766,15,17.6,35,9,9
STU0767,10,23.5,67,22,13
STU0768,14,20.3,46,22,9
STU0769,11,10.0,36,27,8
STU0770,17,31.8,149,24,13
STU0771,12,29.2,177,28,9
STU0772,18,5.6,112,23,6
STU0773,22,25.4,34,9,3
STU0774,10,26.8,179,6,7
STU0775,30,28.0,47,27,7
STU0776,9,33.0,87,25,3
STU0777,17,16.2,38,11,14
STU0778,12,34.8,30,20,2
STU0779,20,26.1,145,12,7
STU0780,10,7.1,158,23,8
STU0781,18,19.6,93,29,11
STU0782,9,14.0,84,25,9
STU0783,25,19.8,150,8,5
STU0784,24,21.8,130,3,7
STU0785,7,20.1,141,27,3
STU0786,29,11.5,126,5,4
STU0787,15,5.8,157,14,11
STU0788,27,20.5,20,12,7
STU0789,12,31.5,27,1,12
STU0790,9,34.7,165,6,9
STU0791,9,33.7,135,30,14
STU0792,10,33.5,73,15,14
STU0793,29,7.8,109,23,12
STU0794,12,20.1,110,11,12
STU0795,14,30.9,42,9,12
STU0796,29,30.4,70,22,7
STU0797,26,33.3,105,28,8
STU0798,21,19.8,21,19,6
STU0799,17,31.2,107,20,12
STU0800,17,24.9,52,13,10
STU0801,12,30.3,132,9,3
STU0802,16,29.1,70,8,2
STU0803,30,12.6,178,5,5
STU0804,7,29.3,52,10,5
STU0805,8,15.2,53,17,12
STU0806,5,5.2,32,22,6
STU0807,17,8.4,170,2,10
STU0808,20,19.1,28,8,13
STU0809,5,23.3,21,21,12
STU0810,21,18.9,141,11,3
STU0811,8,32.8,161,8,11
STU0812,16,32.3,88,16,13
STU0813,20,9.2,166,6,9
STU0814,19,12.1,49,5,3
STU0815,22,27.0,143,13,4
STU0816,10,30.0,131,29,14
