Student_ID,Lecture_ID,Subject,Chapter,Faculty,Lecture_Date,Attendance_Percentage
STU0016,LEC0154,Biology,Human Body,Dr. Priya,2026-05-26,67
STU0016,LEC0155,Mathematics,Algebra,Dr. Ravi,2026-03-21,100
STU0016,LEC0156,Biology,Human Body,Dr. Kumar,2026-06-26,64
STU0016,LEC0157,Mathematics,Calculus,Dr. Priya,2026-04-15,63
STU0016,LEC0158,Physics,Laws of Motion,Dr. Priya,2026-07-06,88
STU0016,LEC0159,Biology,Human Body,Dr. Priya,2026-06-20,78
STU0016,LEC0160,Physics,Motion,Dr. Meena,2026-04-11,54
STU0017,LEC0161,Chemistry,Atoms,Dr. Priya,2026-04-05,63
STU0017,LEC0162,Chemistry,Atoms,Dr. Priya,2026-04-11,87
STU0017,LEC0163,Chemistry,Chemical Bonding,Dr. Ravi,2026-01-26,55
STU0017,LEC0164,Biology,Plant Physiology,Dr. Arun,2026-06-16,60
STU0017,LEC0165,Chemistry,Chemical Bonding,Dr. Meena,2026-01-30,61
STU0017,LEC0166,Chemistry,Acids and Bases,Dr. Arun,2026-06-03,86
STU0017,LEC0167,Biology,Genetics,Dr. Arun,2026-04-23,100
STU0017,LEC0168,Biology,Cell,Dr. Arun,2026-04-22,75
STU0017,LEC0169,Biology,Genetics,Dr. Meena,2026-04-28,78
STU0017,LEC0170,Biology,Plant Physiology,Dr. Priya,2026-01-30,100
STU0018,LEC0171,Biology,Cell,Dr. Meena,2026-04-30,77
STU0018,LEC0172,Physics,Work and Energy,Dr. Ravi,2026-01-23,84
STU0018,LEC0173,Chemistry,Chemical Bonding,Dr. Arun,2026-06-13,74
STU0018,LEC0174,Biology,Human Body,Dr. Meena,2026-02-15,68
STU0018,LEC0175,Biology,Plant Physiology,Dr. Kumar,2026-05-11,71
STU0018,LEC0176,Chemistry,Organic Chemistry,Dr. Priya,2026-03-19,59
STU0018,LEC0177,Chemistry,Atoms,Dr. Kumar,2026-07-07,82
STU0018,LEC0178,Mathematics,Probability,Dr. Meena,2026-01-28,76
STU0018,LEC0179,Biology,Human Body,Dr. Meena,2026-02-27,81
STU0018,LEC0180,Mathematics,Algebra,Dr. Meena,2026-02-09,52
STU0019,LEC0181,Physics,Electricity,Dr. Ravi,2026-02-04,60
STU0019,LEC0182,Chemistry,Organic Chemistry,Dr. Arun,2026-03-15,99
STU0019,LEC0183,Mathematics,Probability,Dr. Arun,2026-03-14,94
STU0019,LEC0184,Physics,Electricity,Dr. Meena,2026-06-11,97
STU0019,LEC0185,Chemistry,Chemical Bonding,Dr. Meena,2026-03-28,52
STU0019,LEC0186,Mathematics,Algebra,Dr. Priya,2026-03-08,66
STU0019,LEC0187,Biology,Genetics,Dr. Arun,2026-06-17,65
STU0019,LEC0188,Chemistry,Atoms,Dr. Kumar,2026-03-31,99
STU0019,LEC0189,Physics,Electricity,Dr. Meena,2026-04-20,95
STU0019,LEC0190,Physics,Laws of Motion,Dr. Meena,2026-05-25,60
STU0020,LEC0191,Biology,Human Body,Dr. Arun,2026-04-17,82
STU0020,LEC0192,Biology,Human Body,Dr. Meena,2026-03-22,98
STU0020,LEC0193,Physics,Motion,Dr. Ravi,2026-07-04,99
STU0020,LEC0194,Mathematics,Trigonometry,Dr. Arun,2026-03-26,97
STU0020,LEC0195,Chemistry,Organic Chemistry,Dr. Arun,2026-02-25,50
STU0020,LEC0196,Chemistry,Organic Chemistry,Dr. Kumar,2026-03-25,56
STU0020,LEC0197,Physics,Electricity,Dr. Ravi,2026-06-06,76
STU0020,LEC0198,Mathematics,Probability,Dr. Priya,2026-07-20,61
STU0020,LEC0199,Mathematics,Trigonometry,Dr. Priya,2026-04-02,62
STU0020,LEC0200,Biology,Genetics,Dr. Ravi,2026-05-16,57
STU0021,LEC0201,Biology,Genetics,Dr. Priya,2026-04-18,62
STU0021,LEC0202,Physics,Laws of Motion,Dr. Priya,2026-04-13,66
STU0021,LEC0203,Biology,Plant Physiology,Dr. Ravi,2026-04-14,56
STU0021,LEC0204,Chemistry,Atoms,Dr. Arun,2026-02-10,55
STU0021,LEC0205,Biology,Cell,Dr. Arun,2026-01-30,54
STU0021,LEC0206,Mathematics,Algebra,Dr. Ravi,2026-07-21,65
STU0021,LEC0207,Biology,Plant Physiology,Dr. Kumar,2026-01-30,50
STU0021,LEC0208,Physics,Work and Energy,Dr. Kumar,2026-03-15,92
STU0021,LEC0209,Physics,Motion,Dr. Priya,2026-01-24,83
STU0021,LEC0210,Physics,Electricity,Dr. Ravi,2026-04-29,83
STU0022,LEC0211,Mathematics,Probability,Dr. Meena,2026-02-20,98
STU0022,LEC0212,Mathematics,Probability,Dr. Arun,2026-03-04,73
STU0022,LEC0213,Mathematics,Calculus,Dr. Priya,2026-07-04,73
STU0022,LEC0214,Biology,Plant Physiology,Dr. Ravi,2026-04-21,53
STU0022,LEC0215,Mathematics,Calculus,Dr. Kumar,2026-05-24,50
STU0022,LEC0216,Biology,Plant Physiology,Dr. Priya,2026-05-23,51
STU0022,LEC0217,Physics,Work and Energy,Dr. Priya,2026-07-08,73
STU0022,LEC0218,Biology,Plant Physiology,Dr. Ravi,2026-03-20,76
STU0022,LEC0219,Chemistry,Atoms,Dr. Arun,2026-06-06,51
STU0022,LEC0220,Mathematics,Algebra,Dr. Arun,2026-02-24,93
STU0023,LEC0221,Biology,Genetics,Dr. Ravi,2026-04-25,81
STU0023,LEC0222,Biology,Cell,Dr. Arun,2026-06-18,77
STU0023,LEC0223,Biology,Cell,Dr. Meena,2026-04-03,68
STU0023,LEC0224,Chemistry,Chemical Bonding,Dr. Ravi,2026-06-02,86
STU0023,LEC0225,Physics,Laws of Motion,Dr. Meena,2026-02-21,100
STU0023,LEC0226,Physics,Work and Energy,Dr. Ravi,2026-07-17,79
STU0023,LEC0227,Chemistry,Organic Chemistry,Dr. Kumar,2026-06-23,80
STU0023,LEC0228,Chemistry,Chemical Bonding,Dr. Priya,2026-06-12,60
STU0023,LEC0229,Physics,Motion,Dr. Meena,2026-05-16,95
STU0023,LEC0230,Physics,Laws of Motion,Dr. Arun,2026-03-25,74
STU0024,LEC0231,Mathematics,Trigonometry,Dr. Arun,2026-04-01,92
STU0024,LEC0232,Biology,Cell,Dr. Priya,2026-04-01,84
STU0024,LEC0233,Biology,Cell,Dr. Arun,2026-03-29,64
STU0024,LEC0234,Physics,Work and Energy,Dr. Meena,2026-03-15,95
STU0024,LEC0235,Biology,Plant Physiology,Dr. Priya,2026-03-24,64
STU0024,LEC0236,Mathematics,Algebra,Dr. Arun,2026-05-14,55
STU0024,LEC0237,Physics,Motion,Dr. Arun,2026-05-07,97
STU0024,LEC0238,Chemistry,Atoms,Dr. Ravi,2026-04-26,73
STU0024,LEC0239,Chemistry,Acids and Bases,Dr. Meena,2026-07-04,86
STU0024,LEC0240,Physics,Work and Energy,Dr. Kumar,2026-05-30,87
STU0025,LEC0241,Chemistry,Organic Chemistry,Dr. Meena,2026-04-18,70
STU0025,LEC0242,Mathematics,Trigonometry,Dr. Ravi,2026-03-18,92
STU0025,LEC0243,Chemistry,Atoms,Dr. Meena,2026-02-06,50
STU0025,LEC0244,Biology,Human Body,Dr. Priya,2026-04-06,68
STU0025,LEC0245,Chemistry,Organic Chemistry,Dr. Meena,2026-03-07,59
STU0025,LEC0246,Mathematics,Trigonometry,Dr. Kumar,2026-03-24,88
STU0025,LEC0247,Mathematics,Calculus,Dr. Ravi,2026-01-28,94
STU0025,LEC0248,Physics,Work and Energy,Dr. Ravi,2026-04-10,80
STU0025,LEC0249,Chemistry,Organic Chemistry,Dr. Arun,2026-04-03,95
STU0025,LEC0250,Biology,Cell,Dr. Arun,2026-01-27,59
STU0026,LEC0251,Chemistry,Chemical Bonding,Dr. Kumar,2026-04-01,99
STU0026,LEC0252,Chemistry,Organic Chemistry,Dr. Meena,2026-02-09,69
STU0026,LEC0253,Chemistry,Atoms,Dr. Ravi,2026-07-12,75
STU0026,LEC0254,Mathematics,Probability,Dr. Meena,2026-06-05,72
STU0026,LEC0255,Biology,Plant Physiology,Dr. Kumar,2026-03-24,83
STU0026,LEC0256,Mathematics,Calculus,Dr. Priya,2026-07-11,94
STU0026,LEC0257,Biology,Cell,Dr. Priya,2026-07-11,70
STU0026,LEC0258,Physics,Work and Energy,Dr. Meena,2026-04-13,91
STU0026,LEC0259,Chemistry,Chemical Bonding,Dr. Meena,2026-05-31,94
STU0026,LEC0260,Biology,Human Body,Dr. Priya,2026-04-08,63
STU0027,LEC0261,Chemistry,Chemical Bonding,Dr. Kumar,2026-06-08,73
STU0027,LEC0262,Physics,Laws of Motion,Dr. Meena,2026-02-04,77
STU0027,LEC0263,Chemistry,Atoms,Dr. Kumar,2026-06-04,72
STU0027,LEC0264,Biology,Genetics,Dr. Kumar,2026-03-25,57
STU0027,LEC0265,Mathematics,Probability,Dr. Priya,2026-06-09,90
STU0027,LEC0266,Biology,Genetics,Dr. Kumar,2026-05-27,57
STU0027,LEC0267,Chemistry,Organic Chemistry,Dr. Meena,2026-02-09,69
STU0027,LEC0268,Chemistry,Organic Chemistry,Dr. Kumar,2026-03-10,99
STU0027,LEC0269,Biology,Plant Physiology,Dr. Arun,2026-07-11,90
STU0027,LEC0270,Biology,Human Body,Dr. Kumar,2026-03-10,57
STU0028,LEC0271,Physics,Motion,Dr. Kumar,2026-06-20,81
STU0028,LEC0272,Chemistry,Atoms,Dr. Ravi,2026-05-18,86
STU0028,LEC0273,Biology,Human Body,Dr. Kumar,2026-03-15,100
STU0028,LEC0274,Chemistry,Organic Chemistry,Dr. Meena,2026-04-15,91
STU0028,LEC0275,Biology,Human Body,Dr. Ravi,2026-03-25,58
STU0028,LEC0276,Physics,Work and Energy,Dr. Kumar,2026-07-04,95
STU0028,LEC0277,Chemistry,Organic Chemistry,Dr. Kumar,2026-04-17,75
STU0028,LEC0278,Biology,Cell,Dr. Ravi,2026-04-25,87
STU0028,LEC0279,Physics,Laws of Motion,Dr. Kumar,2026-02-05,61
STU0028,LEC0280,Chemistry,Atoms,Dr. Ravi,2026-05-18,78
STU0029,LEC0281,Mathematics,Algebra,Dr. Kumar,2026-03-23,58
STU0029,LEC0282,Chemistry,Chemical Bonding,Dr. Kumar,2026-06-03,85
STU0029,LEC0283,Mathematics,Algebra,Dr. Kumar,2026-03-05,57
STU0029,LEC0284,Mathematics,Calculus,Dr. Ravi,2026-06-25,60
STU0029,LEC0285,Biology,Cell,Dr. Priya,2026-03-29,69
STU0029,LEC0286,Physics,Work and Energy,Dr. Ravi,2026-05-18,78
STU0029,LEC0287,Chemistry,Organic Chemistry,Dr. Arun,2026-02-09,83
STU0029,LEC0288,Mathematics,Trigonometry,Dr. Kumar,2026-03-24,92
STU0029,LEC0289,Physics,Laws of Motion,Dr. Kumar,2026-05-26,62
STU0029,LEC0290,Chemistry,Acids and Bases,Dr. Priya,2026-06-11,58
STU0030,LEC0291,Chemistry,Acids and Bases,Dr. Arun,2026-07-20,58
STU0030,LEC0292,Biology,Cell,Dr. Ravi,2026-05-30,66
STU0030,LEC0293,Mathematics,Probability,Dr. Priya,2026-03-26,75
STU0030,LEC0294,Biology,Cell,Dr. Arun,2026-02-08,93
STU0030,LEC0295,Biology,Genetics,Dr. Ravi,2026-03-12,63
STU0030,LEC0296,Physics,Work and Energy,Dr. Priya,2026-02-18,95
STU0030,LEC0297,Mathematics,Trigonometry,Dr. Meena,2026-05-05,59
STU0030,LEC0298,Mathematics,Probability,Dr. Meena,2026-07-09,51
STU0030,LEC0299,Chemistry,Atoms,Dr. Arun,2026-07-17,57
STU0030,LEC0300,Physics,Electricity,Dr. Kumar,2026-05-05,71
STU0031,LEC0301,Physics,Work and Energy,Dr. Arun,2026-03-08,99
STU0031,LEC0302,Mathematics,Trigonometry,Dr. Priya,2026-04-19,67
STU0031,LEC0303,Physics,Motion,Dr. Meena,2026-03-02,64
STU0031,LEC0304,Biology,Cell,Dr. Kumar,2026-05-19,61
STU0031,LEC0305,Mathematics,Probability,Dr. Kumar,2026-03-20,83
STU0031,LEC0306,Mathematics,Calculus,Dr. Ravi,2026-06-03,67
STU0031,LEC0307,Physics,Motion,Dr. Priya,2026-07-22,70
STU0031,LEC0308,Biology,Genetics,Dr. Arun,2026-05-18,97
STU0031,LEC0309,Biology,Plant Physiology,Dr. Ravi,2026-05-10,58
STU0031,LEC0310,Mathematics,Algebra,Dr. Ravi,2026-04-29,95
STU0032,LEC0311,Chemistry,Chemical Bonding,Dr. Priya,2026-05-04,74
STU0032,LEC0312,Mathematics,Algebra,Dr. Arun,2026-03-04,95
STU0032,LEC0313,Chemistry,Organic Chemistry,Dr. Meena,2026-04-20,61
STU0032,LEC0314,Biology,Human Body,Dr. Meena,2026-02-03,82
STU0032,LEC0315,Mathematics,Calculus,Dr. Meena,2026-05-04,83
STU0032,LEC0316,Chemistry,Acids and Bases,Dr. Kumar,2026-05-06,69
STU0032,LEC0317,Biology,Human Body,Dr. Kumar,2026-02-27,90
STU0032,LEC0318,Physics,Motion,Dr. Priya,2026-03-29,55
STU0032,LEC0319,Chemistry,Atoms,Dr. Kumar,2026-02-25,97
STU0032,LEC0320,Mathematics,Probability,Dr. Kumar,2026-05-23,77
STU0033,LEC0321,Chemistry,Organic Chemistry,Dr. Meena,2026-06-02,82
STU0033,LEC0322,Physics,Electricity,Dr. Kumar,2026-03-26,89
STU0033,LEC0323,Chemistry,Atoms,Dr. Meena,2026-04-22,94
STU0033,LEC0324,Mathematics,Trigonometry,Dr. Ravi,2026-07-06,93
STU0033,LEC0325,Physics,Electricity,Dr. Priya,2026-02-24,93
STU0033,LEC0326,Chemistry,Chemical Bonding,Dr. Kumar,2026-06-03,73
STU0033,LEC0327,Chemistry,Acids and Bases,Dr. Kumar,2026-06-28,77
STU0033,LEC0328,Biology,Plant Physiology,Dr. Priya,2026-04-16,73
STU0033,LEC0329,Physics,Work and Energy,Dr. Priya,2026-04-07,84
STU0033,LEC0330,Physics,Work and Energy,Dr. Arun,2026-04-23,80
STU0034,LEC0331,Mathematics,Calculus,Dr. Priya,2026-04-17,50
STU0034,LEC0332,Biology,Genetics,Dr. Arun,2026-07-21,91
STU0034,LEC0333,Physics,Electricity,Dr. Ravi,2026-02-21,81
STU0034,LEC0334,Physics,Work and Energy,Dr. Kumar,2026-07-12,89
STU0034,LEC0335,Biology,Human Body,Dr. Arun,2026-02-22,72
STU0034,LEC0336,Physics,Motion,Dr. Arun,2026-07-02,96
STU0034,LEC0337,Chemistry,Organic Chemistry,Dr. Arun,2026-02-12,50
STU0034,LEC0338,Physics,Electricity,Dr. Meena,2026-05-21,62
STU0034,LEC0339,Physics,Laws of Motion,Dr. Meena,2026-02-18,57
STU0034,LEC0340,Biology,Cell,Dr. Priya,2026-03-28,99
STU0035,LEC0341,Mathematics,Trigonometry,Dr. Meena,2026-06-30,75
STU0035,LEC0342,Mathematics,Calculus,Dr. Arun,2026-06-26,77
STU0035,LEC0343,Chemistry,Acids and Bases,Dr. Kumar,2026-04-11,78
STU0035,LEC0344,Biology,Genetics,Dr. Priya,2026-02-12,72
STU0035,LEC0345,Biology,Cell,Dr. Arun,2026-02-25,95
STU0035,LEC0346,Chemistry,Atoms,Dr. Priya,2026-03-26,68
STU0035,LEC0347,Physics,Laws of Motion,Dr. Meena,2026-05-15,76
STU0035,LEC0348,Mathematics,Algebra,Dr. Priya,2026-01-31,92
STU0035,LEC0349,Chemistry,Organic Chemistry,Dr. Arun,2026-02-04,57
STU0035,LEC0350,Biology,Plant Physiology,Dr. Ravi,2026-04-04,81
STU0036,LEC0351,Chemistry,Acids and Bases,Dr. Meena,2026-03-20,82
STU0036,LEC0352,Biology,Genetics,Dr. Kumar,2026-05-02,56
